node,activity,previous_activity,peak_activity,node_usage,degree,mean_connected_weight,max_connected_weight
0,0.0,0.0,0.0,0,8,0.4367065613053943,0.4781403603141562
1,0.0,0.0,0.0,0,12,0.4352049584050155,0.4989522124551481
2,0.0,0.0,0.0,0,7,0.46906588210813116,0.5348241910202767
3,0.0,0.0,0.84,3,7,0.5007515173770862,0.5956066161642252
4,0.0,0.0,0.43632675290746187,3,9,0.49692731731532447,0.6273191173290653
5,0.0,0.0,0.16156337035699597,1,8,0.4518826224721385,0.5157839637708246
6,0.0,0.0,0.0,0,9,0.4415748946164672,0.5924438880267414
7,0.0,0.0,1.0,3,7,0.5226068887032186,0.5718902386739174
8,0.0,0.0,0.0,0,7,0.43031042358242483,0.49461732971292727
9,0.0,0.0,0.42758209883823556,3,10,0.4951799349346828,0.6352466741474986
10,0.0,0.0,0.15149217845521976,1,8,0.45256313579659435,0.5409749430565586
11,0.0,0.0,0.3895996767456097,3,8,0.47963508772881136,0.5956066161642252
12,0.0,0.0,0.0,0,13,0.4710548313057104,0.6739596758254147
13,0.0,0.0,0.15260356626404595,1,7,0.4092515197151257,0.47445172288881365
14,0.0,0.0,0.33193629487833426,3,10,0.4688995975481993,0.521053874460152
15,0.0,0.0,0.92,3,13,0.5473915408214899,0.6074592432393643
16,0.0,0.0,0.0,0,7,0.40668616570296384,0.47016645533689116
17,0.0,0.0,0.0,0,10,0.4682625224824396,0.5450360234461633
18,0.0,0.0,0.0,0,9,0.45950015357286755,0.5383421963049196
19,0.0,0.0,0.0,0,14,0.44205548327845184,0.4945337651381694
20,0.0,0.0,0.0,0,13,0.4559594414075956,0.5218854184276844
21,0.0,0.0,0.42724628986037205,3,8,0.49483989931355105,0.6352466741474986
22,0.0,0.0,0.0,0,10,0.4347308724399069,0.5101241788210065
23,0.0,0.0,0.0,0,13,0.48080153337119486,0.6739596758254147
24,0.0,0.0,0.15584440201212188,1,10,0.4469232244553864,0.49257940602066086
25,0.0,0.0,0.0,0,7,0.45243291062206586,0.533966625720866
26,0.0,0.0,0.0,0,7,0.448821771268827,0.5379501126725448
27,0.0,0.0,0.0,0,8,0.47437781098092585,0.5094536770811847
28,0.0,0.0,0.4056154681474768,3,10,0.4844697025651191,0.6690047378340481
29,0.0,0.0,0.39722092179133756,3,8,0.4595395661827626,0.6667359187208735
30,0.0,0.0,0.0,0,7,0.38282125350777846,0.43199146457974275
31,0.0,0.0,0.0,0,7,0.4698832440031348,0.5158414798254876
32,0.0,0.0,0.0,0,10,0.4479547947235085,0.5218854184276844
33,0.0,0.0,0.0,0,11,0.4480515715271348,0.5335214387765553
34,0.0,0.0,0.3921005709162664,3,8,0.45513969971540685,0.6553311105686084
35,0.0,0.0,0.0,0,10,0.4538912589245747,0.534182150992125
36,0.0,0.0,0.0,0,7,0.4829050318305831,0.5348241910202767
37,0.0,0.0,0.0,0,8,0.4641632739284125,0.6053149524937612
38,0.0,0.0,0.0,0,8,0.4429487411620463,0.47004675508747584
39,0.0,0.0,0.41914801218877984,3,9,0.4581986948169408,0.5862987873999163
40,0.0,0.0,0.0,0,8,0.4333475937488462,0.5167583386977045
41,0.0,0.0,0.4081160386073123,3,12,0.45989884398804254,0.6138885540035524
42,0.0,0.0,0.0,0,7,0.42886010343627834,0.444575948908635
43,0.0,0.0,0.0,0,10,0.431290737401575,0.4667965844863169
44,0.0,0.0,0.0,0,7,0.4103315989720069,0.4879761118051357
45,0.0,0.0,0.3286405746975481,3,13,0.45142045300183636,0.5225936744771137
46,0.0,0.0,0.38572093141604497,3,7,0.46091128236863044,0.5830577404577626
47,0.0,0.0,0.0,0,7,0.38379125602396613,0.4205606764588489
48,0.0,0.0,0.0,0,7,0.4223416300199679,0.48338450670432626
49,0.0,0.0,0.44288118205598054,3,8,0.4445597444150623,0.5829528198771536
50,0.0,0.0,0.0,0,10,0.4508532488179487,0.5158655719636952
51,0.0,0.0,0.0,0,7,0.45848448358028204,0.5241270807635002
52,0.0,0.0,0.34817996731013656,3,7,0.42975218869640436,0.49888165920300664
53,0.0,0.0,0.0,0,12,0.44443067467029396,0.5383421963049196
54,0.0,0.0,0.0,0,8,0.45138686120798166,0.5379501126725448
55,0.0,0.0,0.4179308209928791,3,7,0.45138931929142767,0.543615515844584
56,0.0,0.0,0.0,0,7,0.42753053503621735,0.5392912862950545
57,0.0,0.0,0.0,0,9,0.4553151695651371,0.6053149524937612
58,0.0,0.0,0.3176551401947081,3,9,0.485090637335763,0.5899348966855804
59,0.0,0.0,0.0,0,7,0.41831439503966955,0.45975939929678444
60,0.0,0.0,0.0,0,7,0.44204095027207685,0.5924438880267414
61,0.0,0.0,0.3845895050286035,3,8,0.4813036857458409,0.6151654942210681
62,0.0,0.0,0.0,0,10,0.47989369407652516,0.5158655719636952
63,0.0,0.0,0.3618150728527779,3,8,0.45852884647067926,0.5830577404577626
64,0.0,0.0,0.40072391694509,3,7,0.4701516019256521,0.6553311105686084
65,0.0,0.0,0.4107144515738736,3,8,0.4830447510723255,0.6690047378340481
66,0.0,0.0,0.0,0,8,0.43725936006441113,0.4604730906351656
67,0.0,0.0,0.1506473478815956,1,12,0.444896795700031,0.5139004479012499
68,0.0,0.0,0.17741386889103095,2,10,0.45609156690457925,0.5656722203263472
69,0.0,0.0,0.0,0,8,0.4315782616409432,0.5094536770811847
70,0.0,0.0,0.0,0,11,0.4731137096811436,0.5450360234461633
71,0.0,0.0,0.0,0,7,0.4367222802555447,0.4947877283235356
72,0.0,0.0,0.3686744989833142,3,7,0.45581993178570024,0.5265477086540193
73,0.0,0.0,0.0,0,8,0.43009602458205354,0.5000795956793815
74,0.0,0.0,0.0,0,8,0.46638616535117516,0.5284814417063581
75,0.0,0.0,0.40746176040726545,3,7,0.49438472578870707,0.6667359187208735
76,0.0,0.0,0.0,0,7,0.43700302733154134,0.5438461681174868
77,0.0,0.0,0.34314315005832136,3,7,0.4854059578380845,0.5693930235856097
78,0.0,0.0,0.0,0,7,0.4686252963252521,0.5438461681174868
79,0.0,0.0,0.0,0,8,0.4770804148440894,0.534182150992125
