group,trial,condition,label,cut_edges,retention
固定射影,1,無処置,晴れ未経験,0,1.0
固定射影,1,無処置,雨未経験,0,1.0
固定射影,1,無処置,曖昧天気,0,1.0
固定射影,1,無処置,遠い対照,0,1.0
固定射影,1,晴れ中心型,晴れ未経験,42,0.4083333333333333
固定射影,1,晴れ中心型,雨未経験,42,1.0
固定射影,1,晴れ中心型,曖昧天気,42,0.5686111111111112
固定射影,1,晴れ中心型,遠い対照,42,1.0
固定射影,1,混合補助型,晴れ未経験,48,0.8598484848484849
固定射影,1,混合補助型,雨未経験,48,1.0
固定射影,1,混合補助型,曖昧天気,48,0.7236111111111111
固定射影,1,混合補助型,遠い対照,48,0.14482758620689654
固定射影,1,橋渡し型,晴れ未経験,10,0.9242424242424243
固定射影,1,橋渡し型,雨未経験,10,1.0
固定射影,1,橋渡し型,曖昧天気,10,0.7494444444444444
固定射影,1,橋渡し型,遠い対照,10,1.0
固定射影,1,雨中心型,晴れ未経験,52,0.8681818181818182
固定射影,1,雨中心型,雨未経験,52,0.125
固定射影,1,雨中心型,曖昧天気,52,1.0
固定射影,1,雨中心型,遠い対照,52,0.9537205081669692
固定射影,2,無処置,晴れ未経験,0,1.0
固定射影,2,無処置,雨未経験,0,1.0
固定射影,2,無処置,曖昧天気,0,1.0
固定射影,2,無処置,遠い対照,0,1.0
固定射影,2,晴れ中心型,晴れ未経験,57,0.1446969696969697
固定射影,2,晴れ中心型,雨未経験,57,0.8681818181818182
固定射影,2,晴れ中心型,曖昧天気,57,0.3775
固定射影,2,晴れ中心型,遠い対照,57,1.0
固定射影,2,橋渡し型,晴れ未経験,13,0.9439393939393941
固定射影,2,橋渡し型,雨未経験,13,1.0
固定射影,2,橋渡し型,曖昧天気,13,0.6719444444444445
固定射影,2,橋渡し型,遠い対照,13,1.0
固定射影,2,混合補助型,晴れ未経験,60,0.9719696969696969
固定射影,2,混合補助型,雨未経験,60,0.7560606060606061
固定射影,2,混合補助型,曖昧天気,60,1.0
固定射影,2,混合補助型,遠い対照,60,0.14482758620689654
固定射影,2,雨中心型,晴れ未経験,22,1.0
固定射影,2,雨中心型,雨未経験,22,0.48409090909090907
固定射影,2,雨中心型,曖昧天気,22,1.0
固定射影,2,雨中心型,遠い対照,22,1.0
固定射影,3,無処置,晴れ未経験,0,1.0
固定射影,3,無処置,雨未経験,0,1.0
固定射影,3,無処置,曖昧天気,0,1.0
固定射影,3,無処置,遠い対照,0,1.0
固定射影,3,晴れ中心型,晴れ未経験,44,0.3606060606060606
固定射影,3,晴れ中心型,雨未経験,44,1.0
固定射影,3,晴れ中心型,曖昧天気,44,0.3775
固定射影,3,晴れ中心型,遠い対照,44,1.0
固定射影,3,橋渡し型,晴れ未経験,18,0.9439393939393941
固定射影,3,橋渡し型,雨未経験,18,1.0
固定射影,3,橋渡し型,曖昧天気,18,0.5505555555555556
固定射影,3,橋渡し型,遠い対照,18,1.0
固定射影,3,混合補助型,晴れ未経験,75,0.7560606060606061
固定射影,3,混合補助型,雨未経験,75,0.5287878787878788
固定射影,3,混合補助型,曖昧天気,75,1.0
固定射影,3,混合補助型,遠い対照,75,0.14482758620689654
固定射影,3,雨中心型,晴れ未経験,15,1.0
固定射影,3,雨中心型,雨未経験,15,0.5962121212121212
固定射影,3,雨中心型,曖昧天気,15,1.0
固定射影,3,雨中心型,遠い対照,15,1.0
固定射影,4,無処置,晴れ未経験,0,1.0
固定射影,4,無処置,雨未経験,0,1.0
固定射影,4,無処置,曖昧天気,0,1.0
固定射影,4,無処置,遠い対照,0,1.0
