group,order,probe_label,trials,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,ambiguous_affinity_mean,ambiguous_affinity_std,sunny_margin_mean,sunny_margin_std,rainy_margin_mean,rainy_margin_std,confidence_gap_mean,confidence_gap_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std
固定射影,晴れ→雨→曖昧,晴れだが冷たい,4,0.177544065,0.001493140379426856,0.17607286,5.8283509674686106e-05,0.13373660250000002,0.0017612575143115077,0.001471205,0.001551423889101557,-0.001471205,0.001551423889101557,0.001471205,0.001551423889101557,41.5,0.8660254037844386,33.5,0.8660254037844386
固定射影,晴れ→雨→曖昧,暗いが降らない,4,0.11190878,0.0,0.31548774,0.0,0.23979278,0.0,-0.20357896,0.0,0.20357896,0.0,0.20357896,0.0,50.0,0.0,42.0,0.0
固定射影,晴れ→雨→曖昧,曇りだが暖かい,4,0.11373858,0.0,0.2904041,0.0,0.15458498,0.0,-0.17666552,0.0,0.17666552,0.0,0.17666552,0.0,37.0,0.0,31.0,0.0
固定射影,晴れ→雨→曖昧,遠い対照,4,0.04847524,0.0,0.00920659,0.0,0.02693684,0.0,0.03926865,0.0,-0.03926865,0.0,0.03926865,0.0,31.0,0.0,21.0,0.0
固定射影,晴れ→雨→曖昧,雨でも明るい,4,0.23299023,0.0,0.21943898,0.0,0.32393853,0.0,0.01355125,0.0,-0.01355125,0.0,0.01355125,0.0,45.0,0.0,39.0,0.0
固定射影,晴れ→雨→曖昧,雨上がりの日差し,4,0.24630281,0.0,0.13103207,0.0,0.26773807,0.0,0.11527074,0.0,-0.11527074,0.0,0.11527074,0.0,47.0,0.0,38.0,0.0
固定射影,曖昧→晴れ→雨,晴れだが冷たい,4,0.18671854,0.0,0.18950375,0.0,0.14252984,0.0,-0.00278521,0.0,0.00278521,0.0,0.00278521,0.0,44.0,0.0,36.0,0.0
固定射影,曖昧→晴れ→雨,暗いが降らない,4,0.11586642,0.0,0.3047515,0.0,0.23809678,0.0,-0.18888509,0.0,0.18888509,0.0,0.18888509,0.0,48.0,0.0,40.0,0.0
固定射影,曖昧→晴れ→雨,曇りだが暖かい,4,0.13210835,0.0,0.28999268,0.0,0.14303508,0.0,-0.15788433,0.0,0.15788433,0.0,0.15788433,0.0,38.0,0.0,32.0,0.0
固定射影,曖昧→晴れ→雨,遠い対照,4,0.03805615,0.0,0.00934641,0.0,0.03368673,0.0,0.02870974,0.0,-0.02870974,0.0,0.02870974,0.0,30.0,0.0,20.0,0.0
