group,trial,projection_seed,noise_seed,checkpoint,role,text,baseline_retention,baseline_change,node_retention,edge_retention,added_nodes,removed_nodes,added_edges,removed_edges,current_nodes,current_edges,baseline_nodes,baseline_edges
fixed_projection,1,20260804,20260902,0,train,今日は晴れて気持ちいい,1.0,0.0,1.0,1.0,0,0,0,0,28,19,28,19
fixed_projection,1,20260804,20260902,0,similar,今日の天気は最高だ,1.0,0.0,1.0,1.0,0,0,0,0,31,23,31,23
fixed_projection,1,20260804,20260902,0,unrelated,犬は公園を走っている,1.0,0.0,1.0,1.0,0,0,0,0,30,22,30,22
fixed_projection,1,20260804,20260902,1,train,今日は晴れて気持ちいい,0.9147619,0.0852381,0.93333333,0.9047619,2,0,2,0,30,21,28,19
fixed_projection,1,20260804,20260902,1,similar,今日の天気は最高だ,0.96044881,0.03955119,0.96774194,0.95652174,0,1,0,1,30,22,31,23
fixed_projection,1,20260804,20260902,1,unrelated,犬は公園を走っている,1.0,0.0,1.0,1.0,0,0,0,0,30,22,30,22
fixed_projection,1,20260804,20260902,5,train,今日は晴れて気持ちいい,0.84320652,0.15679348,0.875,0.82608696,4,0,4,0,32,23,28,19
fixed_projection,1,20260804,20260902,5,similar,今日の天気は最高だ,0.92395833,0.07604167,0.9375,0.91666667,1,1,1,1,31,23,31,23
fixed_projection,1,20260804,20260902,5,unrelated,犬は公園を走っている,1.0,0.0,1.0,1.0,0,0,0,0,30,22,30,22
fixed_projection,1,20260804,20260902,10,train,今日は晴れて気持ちいい,0.78223529,0.21776471,0.82352941,0.76,6,0,6,0,34,25,28,19
fixed_projection,1,20260804,20260902,10,similar,今日の天気は最高だ,0.85882353,0.14117647,0.88235294,0.84615385,3,1,3,1,33,25,31,23
fixed_projection,1,20260804,20260902,10,unrelated,犬は公園を走っている,1.0,0.0,1.0,1.0,0,0,0,0,30,22,30,22
fixed_projection,1,20260804,20260902,20,train,今日は晴れて気持ちいい,0.62496189,0.37503811,0.68292683,0.59375,13,0,13,0,41,32,28,19
fixed_projection,1,20260804,20260902,20,similar,今日の天気は最高だ,0.76045045,0.23954955,0.81081081,0.73333333,6,1,7,1,36,29,31,23
fixed_projection,1,20260804,20260902,20,unrelated,犬は公園を走っている,1.0,0.0,1.0,1.0,0,0,0,0,30,22,30,22
fixed_projection,1,20260804,20260902,50,train,今日は晴れて気持ちいい,0.56083333,0.43916667,0.62222222,0.52777778,17,0,17,0,45,36,28,19
fixed_projection,1,20260804,20260902,50,similar,今日の天気は最高だ,0.69579327,0.30420673,0.76923077,0.65625,8,1,9,2,38,30,31,23
fixed_projection,1,20260804,20260902,50,unrelated,犬は公園を走っている,0.92924242,0.07075758,0.96666667,0.90909091,0,1,0,2,29,20,30,22
