group,checkpoint,role,trials,baseline_change_mean,baseline_change_std,node_retention_mean,node_retention_std,edge_retention_mean,edge_retention_std,added_nodes_mean,added_nodes_std,removed_nodes_mean,removed_nodes_std,added_edges_mean,added_edges_std,removed_edges_mean,removed_edges_std,current_nodes_mean,current_nodes_std,current_edges_mean,current_edges_std
fixed_projection,0,similar,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,23.0,0.0
fixed_projection,0,train,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,19.0,0.0
fixed_projection,0,unrelated,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
fixed_projection,1,similar,5,0.03955119,0.0,0.96774194,0.0,0.95652174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,22.0,0.0
fixed_projection,1,train,5,0.0852381,0.0,0.93333333,0.0,0.9047619,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,0.0,21.0,0.0
fixed_projection,1,unrelated,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
fixed_projection,5,similar,5,0.07604167,0.0,0.9375,0.0,0.91666667,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,31.0,0.0,23.0,0.0
fixed_projection,5,train,5,0.15679348,0.0,0.875,0.0,0.82608696,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,23.0,0.0
fixed_projection,5,unrelated,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
fixed_projection,10,similar,5,0.14117647,0.0,0.88235294,0.0,0.84615385,0.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,33.0,0.0,25.0,0.0
fixed_projection,10,train,5,0.21776471,0.0,0.82352941,0.0,0.76,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,34.0,0.0,25.0,0.0
fixed_projection,10,unrelated,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
fixed_projection,20,similar,5,0.23954955,0.0,0.81081081,0.0,0.73333333,0.0,6.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,36.0,0.0,29.0,0.0
fixed_projection,20,train,5,0.37503811,0.0,0.68292683,0.0,0.59375,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,41.0,0.0,32.0,0.0
fixed_projection,20,unrelated,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
fixed_projection,50,similar,5,0.30420673,0.0,0.76923077,0.0,0.65625,0.0,8.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,38.0,0.0,30.0,0.0
fixed_projection,50,train,5,0.43916667,0.0,0.62222222,0.0,0.52777778,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,45.0,0.0,36.0,0.0
fixed_projection,50,unrelated,5,0.07075758,0.0,0.96666667,0.0,0.90909091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,20.0,0.0
varied_projection,0,similar,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.89442719,21.2,0.74833148
varied_projection,0,train,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,1.16619038,20.4,1.0198039
varied_projection,0,unrelated,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.09544512,20.8,0.74833148
varied_projection,1,similar,5,0.01374876,0.01727659,0.99375,0.0125,0.98221344,0.02179296,0.2,0.4,0.0,0.0,0.4,0.48989795,0.0,0.0,30.2,1.16619038,21.6,1.0198039
varied_projection,1,train,5,0.0334111,0.03173931,0.97375,0.02484675,0.96273292,0.03545152,0.8,0.74833148,0.0,0.0,0.8,0.74833148,0.0,0.0,29.6,1.49666295,21.2,0.9797959
varied_projection,1,unrelated,5,0.02542089,0.03383211,0.98043011,0.02591732,0.97142857,0.03809524,0.2,0.4,0.4,0.48989795,0.2,0.4,0.4,0.48989795,29.8,1.16619038,20.6,0.8
varied_projection,5,similar,5,0.06184705,0.06143301,0.959319,0.0550958,0.92675585,0.06557572,1.4,1.95959179,0.0,0.0,1.8,1.72046505,0.0,0.0,31.4,2.41660919,23.0,1.8973666
varied_projection,5,train,5,0.11539374,0.04135383,0.90670639,0.03315147,0.87270619,0.04579149,3.0,1.09544512,0.0,0.0,3.0,1.09544512,0.0,0.0,31.8,1.6,23.4,1.0198039
varied_projection,5,unrelated,5,0.04141785,0.04436182,0.96768678,0.03425935,0.95367965,0.04980425,0.6,0.8,0.4,0.48989795,0.6,0.8,0.4,0.48989795,30.2,0.9797959,21.0,0.63245553
varied_projection,10,similar,5,0.08092682,0.07158599,0.94751344,0.06187484,0.9037592,0.07847901,1.6,1.8547237,0.2,0.4,2.2,1.72046505,0.2,0.4,31.4,2.05912603,23.2,1.83303028
varied_projection,10,train,5,0.19166441,0.0433399,0.84838135,0.033531,0.78677249,0.04908566,5.2,1.32664992,0.0,0.0,5.6,1.49666295,0.0,0.0,34.0,1.8973666,26.0,1.67332005
varied_projection,10,unrelated,5,0.04951444,0.03949054,0.96143678,0.03043086,0.94458874,0.04437177,0.8,0.74833148,0.4,0.48989795,0.8,0.74833148,0.4,0.48989795,30.4,1.2,21.2,0.74833148
varied_projection,20,similar,5,0.15341815,0.08034069,0.89068266,0.06422505,0.82283525,0.09255932,3.4,1.95959179,0.4,0.48989795,4.4,2.41660919,0.4,0.48989795,33.0,2.36643191,25.2,3.05941171
varied_projection,20,train,5,0.27412768,0.05996549,0.78728709,0.06022847,0.69280283,0.06018691,8.0,2.60768096,0.0,0.0,9.2,2.22710575,0.0,0.0,36.8,3.18747549,29.6,2.24499443
varied_projection,20,unrelated,5,0.09390257,0.05788615,0.93866495,0.04903761,0.88856108,0.06509066,1.4,1.356466,0.6,0.48989795,1.8,1.46969385,0.8,0.4,30.8,1.6,21.8,1.16619038
varied_projection,50,similar,5,0.24483067,0.12744759,0.8184538,0.10204851,0.72109307,0.14259025,6.2,3.81575681,0.8,0.74833148,7.4,4.07921561,1.2,1.16619038,35.4,4.22374242,27.4,4.45421149
varied_projection,50,train,5,0.3487132,0.08242611,0.71796871,0.08087113,0.61538116,0.08332201,11.8,4.06939799,0.0,0.0,13.2,3.76297754,0.0,0.0,40.6,4.58693798,33.6,3.66606056
varied_projection,50,unrelated,5,0.15359845,0.07113331,0.89367127,0.06549534,0.82094862,0.07553481,2.8,2.03960781,0.8,0.4,3.2,2.03960781,1.2,0.4,32.0,2.0976177,22.8,1.83303028
