group,trial,projection_seed,condition,cut_edges,shared_edges,train_retention,similar_retention,unrelated_retention,train_similar_overlap,train_unrelated_overlap,train_edges,similar_edges,unrelated_edges
固定射影,1,20260804,無処置,0,14,1.0,1.0,1.0,0.33662132,0.05158119,36,30,20
固定射影,1,20260804,因果上位25%,4,14,0.79333333,0.6695614,1.0,0.26784091,0.05764321,30,21,20
固定射影,1,20260804,使用頻度上位25%,4,14,0.79333333,0.6695614,1.0,0.26784091,0.05764321,30,21,20
固定射影,1,20260804,ランダム25%,4,14,0.89666667,0.82394737,1.0,0.31695652,0.0525,35,26,20
固定射影,2,20260804,無処置,0,14,1.0,1.0,1.0,0.33662132,0.05158119,36,30,20
固定射影,2,20260804,因果上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,0.05764321,30,23,20
固定射影,2,20260804,使用頻度上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,0.05764321,30,23,20
固定射影,2,20260804,ランダム25%,4,14,0.89666667,0.82394737,1.0,0.31695652,0.0525,35,26,20
固定射影,3,20260804,無処置,0,14,1.0,1.0,1.0,0.32435897,0.05158119,36,32,20
固定射影,3,20260804,因果上位25%,4,14,0.79333333,0.6309375,1.0,0.26784091,0.05764321,30,21,20
固定射影,3,20260804,使用頻度上位25%,4,14,0.79333333,0.6890625,1.0,0.25620301,0.05764321,30,23,20
固定射影,3,20260804,ランダム25%,4,14,0.89666667,0.834375,1.0,0.3047379,0.0525,35,28,20
固定射影,4,20260804,無処置,0,14,1.0,1.0,1.0,0.32435897,0.05158119,36,32,20
固定射影,4,20260804,因果上位25%,4,14,0.79333333,0.6890625,1.0,0.25620301,0.05764321,30,23,20
固定射影,4,20260804,使用頻度上位25%,4,14,0.79333333,0.6890625,1.0,0.25620301,0.05764321,30,23,20
固定射影,4,20260804,ランダム25%,4,14,0.89666667,0.77625,1.0,0.31695652,0.0525,35,26,20
固定射影,5,20260804,無処置,0,14,1.0,1.0,1.0,0.33662132,0.05158119,36,30,20
固定射影,5,20260804,因果上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,0.05764321,30,23,20
固定射影,5,20260804,使用頻度上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,0.05764321,30,23,20
固定射影,5,20260804,ランダム25%,4,14,0.89666667,0.82394737,1.0,0.3047379,0.0525,35,28,20
異なる射影,1,20261813,無処置,0,12,1.0,1.0,1.0,0.24282787,0.09542484,34,26,21
異なる射影,1,20261813,因果上位25%,3,12,0.87026542,0.83382353,1.0,0.19637931,0.0943306,31,23,21
異なる射影,1,20261813,使用頻度上位25%,3,12,0.87880201,0.77352941,1.0,0.15514184,0.09088889,33,21,21
異なる射影,1,20261813,ランダム25%,3,12,0.89791966,0.86911765,1.0,0.20829787,0.09716129,33,24,21
異なる射影,2,20262822,無処置,0,7,1.0,1.0,1.0,0.226,0.1412963,37,25,25
異なる射影,2,20262822,因果上位25%,2,7,0.9063964,0.86418182,1.0,0.17715625,0.14897571,34,25,25
異なる射影,2,20262822,使用頻度上位25%,2,7,0.9063964,0.86418182,1.0,0.17715625,0.14897571,34,25,25
異なる射影,2,20262822,ランダム25%,2,7,0.95708709,0.89018182,1.0,0.1765625,0.14565217,35,22,25
異なる射影,3,20263831,無処置,0,0,1.0,1.0,1.0,0.0,0.12484326,28,20,22
異なる射影,3,20263831,因果上位25%,0,0,1.0,1.0,1.0,0.0,0.12484326,28,20,22
異なる射影,3,20263831,使用頻度上位25%,0,0,1.0,1.0,1.0,0.0,0.12484326,28,20,22
異なる射影,3,20263831,ランダム25%,0,0,1.0,1.0,1.0,0.0,0.12484326,28,20,22
異なる射影,4,20264840,無処置,0,9,1.0,1.0,1.0,0.40264493,0.20104167,33,32,25
異なる射影,4,20264840,因果上位25%,2,9,0.83059867,0.85677083,1.0,0.37456763,0.22234923,28,29,25
異なる射影,4,20264840,使用頻度上位25%,2,9,0.83059867,0.85677083,1.0,0.37456763,0.22234923,28,29,25
異なる射影,4,20264840,ランダム25%,2,9,0.89560237,0.92239583,1.0,0.37571263,0.20797101,31,30,25
異なる射影,5,20265849,無処置,0,22,1.0,1.0,1.0,0.51212121,0.09788792,37,32,21
異なる射影,5,20265849,因果上位25%,6,22,0.77825553,0.74151182,1.0,0.42933114,0.11148551,30,25,21
異なる射影,5,20265849,使用頻度上位25%,6,22,0.7272113,0.69142736,1.0,0.39742908,0.10945686,28,23,21
異なる射影,5,20265849,ランダム25%,6,22,0.87073096,0.85920608,1.0,0.48833333,0.08866837,39,33,21
