group,trial,projection_seed,k,edge_count,loss,silhouette,stability,stability_std_within
固定射影,1,20260804,2,152,201.05732801595215,0.3028490321181578,1.0,0.0
固定射影,1,20260804,3,152,167.26753095975232,0.26977810629074217,0.8493486406413384,0.06762730181798847
固定射影,1,20260804,4,152,149.8422977506462,0.2705710977042614,0.7859663645869641,0.047710185482356185
固定射影,1,20260804,5,152,132.56398724082936,0.3152961322134268,0.8332933949111188,0.047972612767745296
固定射影,1,20260804,6,152,118.97804511278196,0.3857872350581983,0.7937107877309166,0.037500795937896514
固定射影,1,20260804,7,152,104.11448360720806,0.40477742910397857,0.8784637504356919,0.0217548485490905
固定射影,1,20260804,8,152,94.94317460317461,0.44673792111320315,0.8851625130707563,0.02052494625800678
固定射影,2,20260804,2,152,201.05732801595215,0.3028490321181578,0.9951311432554897,0.01288178411517374
固定射影,2,20260804,3,152,167.464513718373,0.27251958872667165,0.8371056988497735,0.0815519643722449
固定射影,2,20260804,4,152,147.8791317804849,0.273115733356631,0.8030672708260718,0.09298251652455078
固定射影,2,20260804,5,152,134.70984645248532,0.2938505374457127,0.8136872603694667,0.04917325626304437
固定射影,2,20260804,6,152,120.76455026455027,0.3367863123293151,0.8450135064482398,0.046198790004300494
固定射影,2,20260804,7,152,101.85329634246042,0.40372237297096575,0.8487713489020565,0.03310682082831831
固定射影,2,20260804,8,152,93.85277777777779,0.4419067044024633,0.898385761589404,0.01863439636152764
固定射影,3,20260804,2,152,201.05732801595215,0.3028490321181578,1.0,0.0
固定射影,3,20260804,3,152,167.2992750783699,0.26847540100178074,0.8546531892645521,0.0856617103475561
固定射影,3,20260804,4,152,148.3151515151515,0.2662448074127861,0.823065528058557,0.0578814488133231
固定射影,3,20260804,5,152,133.41378382016424,0.3072868271077825,0.790660944579993,0.0542956159651567
固定射影,3,20260804,6,152,119.12031594758359,0.3820618700095209,0.8072716974555594,0.034017569419354764
固定射影,3,20260804,7,152,107.10956937799043,0.3921744634349917,0.8073152666434298,0.027680762105937534
固定射影,3,20260804,8,152,99.69285407088488,0.38706641619774207,0.8618965667479959,0.021320449199470924
固定射影,4,20260804,2,152,201.05732801595215,0.3028490321181578,0.9605481003834089,0.09055986185373952
固定射影,4,20260804,3,152,167.26753095975232,0.26977810629074217,0.8357441617288254,0.08779522172754071
固定射影,4,20260804,4,152,147.6223862500568,0.2753578127626656,0.7862604566050889,0.04025546430934597
固定射影,4,20260804,5,152,132.79837164750958,0.31988926712827576,0.8133604914604392,0.05951200900524676
固定射影,4,20260804,6,152,116.47997835497836,0.3466355541376774,0.8444362147089579,0.031415038650235594
固定射影,4,20260804,7,152,101.35475601228778,0.42173254482708233,0.8776250435691879,0.02957397836205242
固定射影,4,20260804,8,152,97.85556356305784,0.3980974292681189,0.8556117113976995,0.0325683977934657
固定射影,5,20260804,2,152,201.05732801595215,0.3028490321181578,1.0,0.0
固定射影,5,20260804,3,152,168.32652329749104,0.27461044695658776,0.8512874695015684,0.062364585135302984
固定射影,5,20260804,4,152,150.26934584655726,0.2691913177123326,0.7536598117811084,0.06353445356138326
固定射影,5,20260804,5,152,133.94420354864434,0.31558324495853596,0.7812282154060648,0.07834955045375955
固定射影,5,20260804,6,152,117.54141376167692,0.3624430417024392,0.816355873126525,0.03301506779083635
固定射影,5,20260804,7,152,101.95818449285268,0.4132758729183177,0.858748692924364,0.024092815430248483
固定射影,5,20260804,8,152,96.09011164274321,0.4104515758771441,0.8717105263157895,0.016317620631082847
固定射影,6,20260804,2,152,201.06509988249118,0.29546647584176017,0.965918002788428,0.012881784115173742
固定射影,6,20260804,3,152,167.37608157587908,0.27115221676590384,0.8655672708260718,0.10397275946531577
固定射影,6,20260804,4,152,148.21229024525172,0.277816909712746,0.7975775531544091,0.06470028799671779
固定射影,6,20260804,5,152,134.41376518218624,0.3139995130030508,0.7822629836179853,0.024647484678378125
固定射影,6,20260804,6,152,117.99211071156151,0.34849282613336763,0.8480742418961311,0.061147100619124685
固定射影,6,20260804,7,152,100.90162121604953,0.4177822246323073,0.8712421575461833,0.034880119768908736
固定射影,6,20260804,8,152,92.42620946305158,0.4507020379642944,0.9014682816312304,0.015979842352951124
異なる射影,1,20261813,2,141,207.66804878048782,0.24446425417340167,0.8368541033434651,0.07483519142813196
異なる射影,1,20261813,3,141,178.0834481932043,0.23156317854328803,0.7733029381965553,0.1436805939753217
異なる射影,1,20261813,4,141,160.1970124249616,0.24017457831139344,0.7050785207700101,0.0657925700122421
異なる射影,1,20261813,5,141,136.1340662344763,0.2757355697038957,0.8393743667679838,0.04835740959968073
異なる射影,1,20261813,6,141,124.68533231692297,0.31936599499442486,0.8418313069908814,0.05011164849586441
異なる射影,1,20261813,7,141,110.61601604278076,0.338294804831974,0.8677431610942249,0.01424424138545422
異なる射影,1,20261813,8,141,101.10805958747135,0.36649296766023987,0.8837132725430598,0.03182376909044559
