group,k,n,silhouette_mean,silhouette_std,stability_mean,stability_std,loss_mean,loss_std
固定射影,2,6,0.3016186060720915,0.002751316280290464,0.9869328744045545,0.016917653774104608,201.058623327042,0.002896403648888121
固定射影,3,6,0.27105231100540467,0.00202940372999568,0.8489510718020217,0.010238524981779422,167.5002425982696,0.37597199889154365
固定射影,4,6,0.2720496131102372,0.003859925236623936,0.7915994975020332,0.021043666308096714,148.6901005646914,0.9990118228666982
固定射影,5,6,0.3109842536427974,0.008518306422252344,0.8024155483908446,0.019120165324152758,133.6406596486365,0.79089998091649
固定射影,6,6,0.36036780656175305,0.018288261817799877,0.8258103868943883,0.02111403800424318,118.47940235885544,1.3537779163265353
固定射影,7,6,0.40891081798127393,0.009884859370224885,0.8570277100034854,0.024590854682347525,102.88198517480815,2.143105197240896
固定射影,8,6,0.4224936808038277,0.02501879475061639,0.879039226792146,0.017374668659212188,95.81011518678166,2.4280133158878794
異なる射影,2,6,0.2758986367054946,0.04619238701621675,0.9296587964560432,0.09905473150580159,204.8782628848203,3.1687404452861205
異なる射影,3,6,0.2252874906933776,0.015485623384580824,0.8361938133722187,0.0535623643370955,175.78664141609863,3.184229086151059
異なる射影,4,6,0.23782080563701258,0.004560414938532563,0.7605768955575093,0.03408458417196952,156.92686539359778,2.321355964115386
異なる射影,5,6,0.2624143304283356,0.0157957220565387,0.7952393949901854,0.04136898192241303,139.97669868341313,3.7125858397267506
異なる射影,6,6,0.2934661844663407,0.014653884076076953,0.8156309898130663,0.02029992181634994,126.21130425841498,3.0748916355203053
異なる射影,7,6,0.3224377934424406,0.02064478180321404,0.8531420074997683,0.012589374829793243,113.24419511923328,3.8072868763641403
異なる射影,8,6,0.35982530139218466,0.010750267520452602,0.877526843406177,0.0076777678666438975,102.27448888638095,3.8795740764005533
