group,trial,parent_k,child_k,split_purity,agreement
固定射影,1,2,3,1.0,0.7350993377483444
固定射影,1,3,4,0.9671052631578947,0.8597943534332521
固定射影,1,4,5,0.7828947368421053,0.7916521436040432
固定射影,1,5,6,0.868421052631579,0.8667654234925061
固定射影,1,6,7,0.8289473684210527,0.8814046706169397
固定射影,1,7,8,0.7631578947368421,0.8952596723597073
固定射影,2,2,3,0.9671052631578947,0.6876089229696758
固定射影,2,3,4,0.8947368421052632,0.7607180202161031
固定射影,2,4,5,0.9078947368421053,0.8677239456256536
固定射影,2,5,6,0.9342105263157895,0.8945625653537818
固定射影,2,6,7,0.7697368421052632,0.8231090972464273
固定射影,2,7,8,0.7171052631578947,0.8666782851167655
固定射影,3,2,3,0.993421052631579,0.7498257232485186
固定射影,3,3,4,0.9473684210526315,0.8197978389682816
固定射影,3,4,5,0.7697368421052632,0.6947542697804113
固定射影,3,5,6,0.7105263157894737,0.7391948414081562
固定射影,3,6,7,0.8026315789473685,0.8589229696758452
固定射影,3,7,8,0.7171052631578947,0.8030672708260718
固定射影,4,2,3,1.0,0.7350993377483444
固定射影,4,3,4,0.8881578947368421,0.7716103171836877
固定射影,4,4,5,0.9276315789473685,0.9043220634367375
固定射影,4,5,6,0.7960526315789473,0.8419309864064134
固定射影,4,6,7,0.8223684210526315,0.8486406413384454
固定射影,4,7,8,0.7236842105263158,0.8610142906936215
固定射影,5,2,3,0.9802631578947368,0.734140815615197
固定射影,5,3,4,0.8421052631578947,0.7876437783199721
固定射影,5,4,5,0.868421052631579,0.7968804461484837
固定射影,5,5,6,0.8223684210526315,0.8469850121993726
固定射影,5,6,7,0.6842105263157895,0.8196235622168003
固定射影,5,7,8,0.7302631578947368,0.8528232833739979
固定射影,6,2,3,0.9605263157894737,0.6885674451028233
固定射影,6,3,4,0.9539473684210527,0.8398396653886372
固定射影,6,4,5,0.7171052631578947,0.7283025444405716
固定射影,6,5,6,0.9671052631578947,0.9568665040083653
固定射影,6,6,7,0.9013157894736842,0.8922969675845243
固定射影,6,7,8,0.75,0.8859358661554548
異なる射影,1,2,3,0.8652482269503546,0.7126646403242148
異なる射影,1,3,4,0.8014184397163121,0.7365754812563323
異なる射影,1,4,5,0.8794326241134752,0.7528875379939209
異なる射影,1,5,6,0.7446808510638298,0.7908814589665654
異なる射影,1,6,7,0.7588652482269503,0.860081053698075
異なる射影,1,7,8,0.7801418439716312,0.8910840932117527
異なる射影,2,2,3,0.8768115942028986,0.7360626256214958
異なる射影,2,3,4,0.9855072463768116,0.8810959483761769
異なる射影,2,4,5,0.7971014492753623,0.7964667301385804
異なる射影,2,5,6,0.8260869565217391,0.829260552205649
異なる射影,2,6,7,0.6521739130434783,0.7777425156035122
異なる射影,2,7,8,0.8115942028985508,0.8723156669840262
異なる射影,3,2,3,0.8831168831168831,0.6101349630761396
異なる射影,3,3,4,0.9025974025974026,0.8025634496222731
異なる射影,3,4,5,0.8831168831168831,0.8304897716662423
異なる射影,3,5,6,0.9545454545454546,0.965877259994907
異なる射影,3,6,7,0.7792207792207793,0.7699685934980053
異なる射影,3,7,8,0.7532467532467533,0.8594346829640948
異なる射影,4,2,3,1.0,0.7130533286859533
異なる射影,4,3,4,0.9539473684210527,0.828860230045312
異なる射影,4,4,5,0.9078947368421053,0.8418438480306727
異なる射影,4,5,6,0.6776315789473685,0.7608922969675845
異なる射影,4,6,7,0.756578947368421,0.8356570233530847
異なる射影,4,7,8,0.75,0.8386197281282677
異なる射影,5,2,3,0.991869918699187,0.6978541916566706
異なる射影,5,3,4,0.8617886178861789,0.8408636545381847
異なる射影,5,4,5,0.7804878048780488,0.779021724643476
異なる射影,5,5,6,0.6585365853658537,0.7668932427029188
異なる射影,5,6,7,0.8211382113821138,0.8673863787818206
異なる射影,5,7,8,0.8292682926829268,0.8781820605091297
異なる射影,6,2,3,1.0,0.7888645605254927
異なる射影,6,3,4,0.9928057553956835,0.961943488687311
異なる射影,6,4,5,0.920863309352518,0.852778646647899
異なる射影,6,5,6,0.7913669064748201,0.7926180794494839
異なる射影,6,6,7,0.8057553956834532,0.8805129809196122
異なる射影,6,7,8,0.8561151079136691,0.9279532895422792
