group,k,semantic_name,n,cluster_count_mean,cluster_count_std
固定射影,2,晴れ中心型,6,1.0,0.0
固定射影,2,混合補助型,6,1.0,0.0
固定射影,3,晴れ中心型,6,1.0,0.0
固定射影,3,混合補助型,6,1.0,0.0
固定射影,3,雨中心型,6,1.0,0.0
固定射影,4,晴れ中心型,6,1.6666666666666667,0.4714045207910317
固定射影,4,混合補助型,6,1.1666666666666667,0.3726779962499649
固定射影,4,雨中心型,6,1.1666666666666667,0.37267799624996495
固定射影,5,晴れ中心型,6,1.8333333333333333,0.3726779962499649
固定射影,5,橋渡し型,1,1.0,0.0
固定射影,5,混合補助型,6,1.3333333333333333,0.4714045207910317
固定射影,5,雨中心型,6,1.6666666666666667,0.4714045207910317
固定射影,6,晴れ中心型,6,2.1666666666666665,0.3726779962499649
固定射影,6,橋渡し型,2,1.0,0.0
固定射影,6,混合補助型,6,1.6666666666666667,0.9428090415820634
固定射影,6,雨中心型,6,1.8333333333333333,0.6871842709362768
固定射影,7,晴れ中心型,6,2.8333333333333335,0.3726779962499649
固定射影,7,橋渡し型,1,1.0,0.0
固定射影,7,混合補助型,6,2.3333333333333335,0.4714045207910317
固定射影,7,雨中心型,6,1.6666666666666667,0.4714045207910317
固定射影,8,晴れ中心型,6,2.5,0.5
固定射影,8,橋渡し型,6,1.3333333333333333,0.4714045207910317
固定射影,8,混合補助型,6,1.8333333333333333,0.37267799624996495
固定射影,8,雨中心型,6,2.3333333333333335,0.4714045207910317
異なる射影,2,天気共通型,1,1.0,0.0
異なる射影,2,晴れ中心型,1,1.0,0.0
異なる射影,2,橋渡し型,2,1.0,0.0
異なる射影,2,混合補助型,6,1.0,0.0
異なる射影,2,雨中心型,2,1.0,0.0
異なる射影,3,天気共通型,1,1.0,0.0
異なる射影,3,晴れ中心型,3,1.0,0.0
異なる射影,3,橋渡し型,1,1.0,0.0
異なる射影,3,混合補助型,6,1.3333333333333333,0.47140452079103173
異なる射影,3,雨中心型,5,1.0,0.0
異なる射影,4,晴れ中心型,5,1.2,0.4
異なる射影,4,橋渡し型,1,1.0,0.0
異なる射影,4,混合補助型,6,1.3333333333333333,0.4714045207910317
異なる射影,4,雨中心型,6,1.5,0.5
異なる射影,5,晴れ中心型,5,1.6,0.4898979485566356
異なる射影,5,橋渡し型,1,1.0,0.0
異なる射影,5,混合補助型,6,1.8333333333333333,0.8975274678557508
異なる射影,5,雨中心型,6,1.6666666666666667,0.4714045207910317
異なる射影,6,晴れ中心型,5,2.0,0.0
異なる射影,6,橋渡し型,4,1.25,0.4330127018922193
異なる射影,6,混合補助型,6,1.5,0.7637626158259734
異なる射影,6,雨中心型,6,2.0,0.5773502691896257
異なる射影,7,晴れ中心型,5,2.0,0.6324555320336759
異なる射影,7,橋渡し型,4,1.5,0.5
異なる射影,7,混合補助型,6,2.0,0.816496580927726
異なる射影,7,雨中心型,6,2.3333333333333335,0.7453559924999299
異なる射影,8,晴れ中心型,6,2.0,0.5773502691896257
異なる射影,8,橋渡し型,5,1.0,0.0
異なる射影,8,混合補助型,6,2.6666666666666665,0.7453559924999298
異なる射影,8,雨中心型,6,2.5,0.5
