group,trial,k,semantic_name,cluster_count
固定射影,1,2,混合補助型,1
固定射影,1,2,晴れ中心型,1
固定射影,1,3,混合補助型,1
固定射影,1,3,雨中心型,1
固定射影,1,3,晴れ中心型,1
固定射影,1,4,晴れ中心型,1
固定射影,1,4,混合補助型,2
固定射影,1,4,雨中心型,1
固定射影,1,5,混合補助型,2
固定射影,1,5,雨中心型,2
固定射影,1,5,晴れ中心型,1
固定射影,1,6,混合補助型,3
固定射影,1,6,晴れ中心型,2
固定射影,1,6,雨中心型,1
固定射影,1,7,混合補助型,3
固定射影,1,7,晴れ中心型,2
固定射影,1,7,雨中心型,2
固定射影,1,8,混合補助型,2
固定射影,1,8,雨中心型,2
固定射影,1,8,橋渡し型,2
固定射影,1,8,晴れ中心型,2
固定射影,2,2,晴れ中心型,1
固定射影,2,2,混合補助型,1
固定射影,2,3,晴れ中心型,1
固定射影,2,3,雨中心型,1
固定射影,2,3,混合補助型,1
固定射影,2,4,混合補助型,1
固定射影,2,4,晴れ中心型,2
固定射影,2,4,雨中心型,1
固定射影,2,5,混合補助型,1
固定射影,2,5,晴れ中心型,2
固定射影,2,5,雨中心型,1
固定射影,2,5,橋渡し型,1
固定射影,2,6,混合補助型,1
固定射影,2,6,橋渡し型,1
固定射影,2,6,晴れ中心型,2
固定射影,2,6,雨中心型,2
固定射影,2,7,混合補助型,2
固定射影,2,7,晴れ中心型,3
固定射影,2,7,雨中心型,2
固定射影,2,8,混合補助型,2
固定射影,2,8,雨中心型,3
固定射影,2,8,晴れ中心型,2
固定射影,2,8,橋渡し型,1
固定射影,3,2,晴れ中心型,1
固定射影,3,2,混合補助型,1
固定射影,3,3,混合補助型,1
固定射影,3,3,晴れ中心型,1
固定射影,3,3,雨中心型,1
固定射影,3,4,混合補助型,1
固定射影,3,4,晴れ中心型,2
固定射影,3,4,雨中心型,1
固定射影,3,5,晴れ中心型,2
固定射影,3,5,雨中心型,2
固定射影,3,5,混合補助型,1
固定射影,3,6,混合補助型,3
固定射影,3,6,晴れ中心型,2
固定射影,3,6,雨中心型,1
固定射影,3,7,雨中心型,1
固定射影,3,7,晴れ中心型,3
固定射影,3,7,混合補助型,2
固定射影,3,7,橋渡し型,1
固定射影,3,8,晴れ中心型,2
固定射影,3,8,雨中心型,3
固定射影,3,8,混合補助型,2
固定射影,3,8,橋渡し型,1
固定射影,4,2,混合補助型,1
固定射影,4,2,晴れ中心型,1
固定射影,4,3,混合補助型,1
固定射影,4,3,雨中心型,1
固定射影,4,3,晴れ中心型,1
固定射影,4,4,晴れ中心型,2
固定射影,4,4,雨中心型,1
固定射影,4,4,混合補助型,1
固定射影,4,5,混合補助型,2
固定射影,4,5,晴れ中心型,2
固定射影,4,5,雨中心型,1
固定射影,4,6,晴れ中心型,2
固定射影,4,6,雨中心型,2
固定射影,4,6,混合補助型,1
固定射影,4,6,橋渡し型,1
固定射影,4,7,混合補助型,2
固定射影,4,7,晴れ中心型,3
固定射影,4,7,雨中心型,2
固定射影,4,8,混合補助型,2
固定射影,4,8,晴れ中心型,3
固定射影,4,8,雨中心型,2
固定射影,4,8,橋渡し型,1
固定射影,5,2,混合補助型,1
固定射影,5,2,晴れ中心型,1
固定射影,5,3,混合補助型,1
固定射影,5,3,晴れ中心型,1
固定射影,5,3,雨中心型,1
固定射影,5,4,晴れ中心型,1
固定射影,5,4,混合補助型,1
固定射影,5,4,雨中心型,2
固定射影,5,5,混合補助型,1
固定射影,5,5,雨中心型,2
固定射影,5,5,晴れ中心型,2
固定射影,5,6,混合補助型,1
固定射影,5,6,雨中心型,3
固定射影,5,6,晴れ中心型,2
固定射影,5,7,混合補助型,3
固定射影,5,7,晴れ中心型,3
固定射影,5,7,雨中心型,1
固定射影,5,8,晴れ中心型,3
固定射影,5,8,橋渡し型,2
固定射影,5,8,雨中心型,2
固定射影,5,8,混合補助型,1
固定射影,6,2,晴れ中心型,1
固定射影,6,2,混合補助型,1
固定射影,6,3,混合補助型,1
固定射影,6,3,晴れ中心型,1
固定射影,6,3,雨中心型,1
固定射影,6,4,混合補助型,1
固定射影,6,4,晴れ中心型,2
固定射影,6,4,雨中心型,1
固定射影,6,5,雨中心型,2
固定射影,6,5,晴れ中心型,2
固定射影,6,5,混合補助型,1
固定射影,6,6,晴れ中心型,3
固定射影,6,6,雨中心型,2
固定射影,6,6,混合補助型,1
固定射影,6,7,混合補助型,2
固定射影,6,7,晴れ中心型,3
固定射影,6,7,雨中心型,2
固定射影,6,8,混合補助型,2
固定射影,6,8,晴れ中心型,3
固定射影,6,8,雨中心型,2
固定射影,6,8,橋渡し型,1
異なる射影,1,2,混合補助型,1
異なる射影,1,2,橋渡し型,1
異なる射影,1,3,混合補助型,2
異なる射影,1,3,雨中心型,1
異なる射影,1,4,混合補助型,1
異なる射影,1,4,橋渡し型,1
異なる射影,1,4,雨中心型,2
異なる射影,1,5,雨中心型,2
異なる射影,1,5,混合補助型,1
異なる射影,1,5,晴れ中心型,2
異なる射影,1,6,雨中心型,2
異なる射影,1,6,橋渡し型,1
異なる射影,1,6,晴れ中心型,2
異なる射影,1,6,混合補助型,1
異なる射影,1,7,混合補助型,1
異なる射影,1,7,雨中心型,3
異なる射影,1,7,晴れ中心型,3
異なる射影,1,8,雨中心型,3
異なる射影,1,8,晴れ中心型,3
異なる射影,1,8,混合補助型,2
異なる射影,2,2,混合補助型,1
異なる射影,2,2,雨中心型,1
異なる射影,2,3,雨中心型,1
異なる射影,2,3,混合補助型,2
異なる射影,2,4,混合補助型,2
異なる射影,2,4,雨中心型,1
異なる射影,2,4,晴れ中心型,1
異なる射影,2,5,混合補助型,3
異なる射影,2,5,橋渡し型,1
異なる射影,2,5,雨中心型,1
異なる射影,2,6,混合補助型,3
異なる射影,2,6,橋渡し型,2
異なる射影,2,6,雨中心型,1
異なる射影,2,7,混合補助型,3
異なる射影,2,7,橋渡し型,2
異なる射影,2,7,雨中心型,2
異なる射影,2,8,混合補助型,4
異なる射影,2,8,晴れ中心型,1
異なる射影,2,8,雨中心型,2
異なる射影,2,8,橋渡し型,1
異なる射影,3,2,混合補助型,1
異なる射影,3,2,雨中心型,1
異なる射影,3,3,晴れ中心型,1
異なる射影,3,3,混合補助型,1
異なる射影,3,3,雨中心型,1
異なる射影,3,4,混合補助型,1
異なる射影,3,4,晴れ中心型,1
異なる射影,3,4,雨中心型,2
異なる射影,3,5,混合補助型,1
異なる射影,3,5,晴れ中心型,2
異なる射影,3,5,雨中心型,2
異なる射影,3,6,雨中心型,3
異なる射影,3,6,晴れ中心型,2
異なる射影,3,6,混合補助型,1
異なる射影,3,7,混合補助型,2
異なる射影,3,7,雨中心型,3
異なる射影,3,7,晴れ中心型,2
異なる射影,3,8,雨中心型,3
異なる射影,3,8,混合補助型,2
異なる射影,3,8,晴れ中心型,2
異なる射影,3,8,橋渡し型,1
異なる射影,4,2,天気共通型,1
異なる射影,4,2,混合補助型,1
異なる射影,4,3,混合補助型,1
異なる射影,4,3,雨中心型,1
異なる射影,4,3,天気共通型,1
異なる射影,4,4,混合補助型,2
異なる射影,4,4,雨中心型,1
異なる射影,4,4,晴れ中心型,1
異なる射影,4,5,混合補助型,3
異なる射影,4,5,晴れ中心型,1
異なる射影,4,5,雨中心型,1
異なる射影,4,6,混合補助型,2
異なる射影,4,6,晴れ中心型,2
異なる射影,4,6,雨中心型,2
異なる射影,4,7,橋渡し型,1
異なる射影,4,7,混合補助型,3
異なる射影,4,7,雨中心型,2
異なる射影,4,7,晴れ中心型,1
異なる射影,4,8,晴れ中心型,2
異なる射影,4,8,混合補助型,3
異なる射影,4,8,雨中心型,2
異なる射影,4,8,橋渡し型,1
異なる射影,5,2,混合補助型,1
異なる射影,5,2,晴れ中心型,1
異なる射影,5,3,雨中心型,1
異なる射影,5,3,晴れ中心型,1
異なる射影,5,3,混合補助型,1
異なる射影,5,4,晴れ中心型,1
異なる射影,5,4,混合補助型,1
異なる射影,5,4,雨中心型,2
異なる射影,5,5,雨中心型,2
異なる射影,5,5,混合補助型,2
異なる射影,5,5,晴れ中心型,1
異なる射影,5,6,雨中心型,2
異なる射影,5,6,橋渡し型,1
異なる射影,5,6,混合補助型,1
異なる射影,5,6,晴れ中心型,2
異なる射影,5,7,晴れ中心型,2
異なる射影,5,7,混合補助型,2
異なる射影,5,7,橋渡し型,2
異なる射影,5,7,雨中心型,1
異なる射影,5,8,混合補助型,3
異なる射影,5,8,晴れ中心型,2
異なる射影,5,8,雨中心型,2
異なる射影,5,8,橋渡し型,1
異なる射影,6,2,混合補助型,1
異なる射影,6,2,橋渡し型,1
異なる射影,6,3,晴れ中心型,1
異なる射影,6,3,混合補助型,1
異なる射影,6,3,橋渡し型,1
異なる射影,6,4,晴れ中心型,2
異なる射影,6,4,混合補助型,1
異なる射影,6,4,雨中心型,1
異なる射影,6,5,混合補助型,1
異なる射影,6,5,晴れ中心型,2
異なる射影,6,5,雨中心型,2
異なる射影,6,6,雨中心型,2
異なる射影,6,6,橋渡し型,1
異なる射影,6,6,混合補助型,1
異なる射影,6,6,晴れ中心型,2
異なる射影,6,7,橋渡し型,1
異なる射影,6,7,晴れ中心型,2
異なる射影,6,7,雨中心型,3
異なる射影,6,7,混合補助型,1
異なる射影,6,8,混合補助型,2
異なる射影,6,8,橋渡し型,1
異なる射影,6,8,雨中心型,3
異なる射影,6,8,晴れ中心型,2
