projection_group,trial,concept_group,metric,value
固定射影,1,晴れ・快適,cohesion_before,0.1622528513054829
固定射影,1,晴れ・快適,cohesion_after,0.2640585331022274
固定射影,1,雨・不快,cohesion_before,0.14402666482453716
固定射影,1,雨・不快,cohesion_after,0.24652670132942653
固定射影,1,全体,sunny_specific_shared_edges,8
固定射影,1,全体,rain_specific_shared_edges,0
固定射影,1,全体,weather_common_edges,32
固定射影,2,晴れ・快適,cohesion_before,0.1622528513054829
固定射影,2,晴れ・快適,cohesion_after,0.2640585331022274
固定射影,2,雨・不快,cohesion_before,0.14402666482453716
固定射影,2,雨・不快,cohesion_after,0.24652670132942653
固定射影,2,全体,sunny_specific_shared_edges,8
固定射影,2,全体,rain_specific_shared_edges,0
固定射影,2,全体,weather_common_edges,32
固定射影,3,晴れ・快適,cohesion_before,0.1622528513054829
固定射影,3,晴れ・快適,cohesion_after,0.26585226853098026
固定射影,3,雨・不快,cohesion_before,0.14402666482453716
固定射影,3,雨・不快,cohesion_after,0.24652670132942653
固定射影,3,全体,sunny_specific_shared_edges,8
固定射影,3,全体,rain_specific_shared_edges,0
固定射影,3,全体,weather_common_edges,31
固定射影,4,晴れ・快適,cohesion_before,0.1622528513054829
固定射影,4,晴れ・快適,cohesion_after,0.2640585331022274
固定射影,4,雨・不快,cohesion_before,0.14402666482453716
固定射影,4,雨・不快,cohesion_after,0.24652670132942653
固定射影,4,全体,sunny_specific_shared_edges,8
固定射影,4,全体,rain_specific_shared_edges,0
固定射影,4,全体,weather_common_edges,32
固定射影,5,晴れ・快適,cohesion_before,0.1622528513054829
固定射影,5,晴れ・快適,cohesion_after,0.2640585331022274
固定射影,5,雨・不快,cohesion_before,0.14402666482453716
固定射影,5,雨・不快,cohesion_after,0.24652670132942653
固定射影,5,全体,sunny_specific_shared_edges,8
固定射影,5,全体,rain_specific_shared_edges,0
固定射影,5,全体,weather_common_edges,32
異なる射影,1,晴れ・快適,cohesion_before,0.06274509803921569
異なる射影,1,晴れ・快適,cohesion_after,0.1407107233922483
異なる射影,1,雨・不快,cohesion_before,0.15487451206773326
異なる射影,1,雨・不快,cohesion_after,0.2242384517474222
異なる射影,1,全体,sunny_specific_shared_edges,0
異なる射影,1,全体,rain_specific_shared_edges,3
異なる射影,1,全体,weather_common_edges,34
異なる射影,2,晴れ・快適,cohesion_before,0.09160561358383501
異なる射影,2,晴れ・快適,cohesion_after,0.12310987898494208
異なる射影,2,雨・不快,cohesion_before,0.16385497773988822
異なる射影,2,雨・不快,cohesion_after,0.2750186173693636
異なる射影,2,全体,sunny_specific_shared_edges,0
異なる射影,2,全体,rain_specific_shared_edges,2
異なる射影,2,全体,weather_common_edges,53
異なる射影,3,晴れ・快適,cohesion_before,0.03927527151211362
異なる射影,3,晴れ・快適,cohesion_after,0.1054941003192329
異なる射影,3,雨・不快,cohesion_before,0.06175953787795894
異なる射影,3,雨・不快,cohesion_after,0.07796357471820625
異なる射影,3,全体,sunny_specific_shared_edges,1
異なる射影,3,全体,rain_specific_shared_edges,0
異なる射影,3,全体,weather_common_edges,46
異なる射影,4,晴れ・快適,cohesion_before,0.08999058969066709
異なる射影,4,晴れ・快適,cohesion_after,0.28687652114308854
異なる射影,4,雨・不快,cohesion_before,0.06556225500800973
異なる射影,4,雨・不快,cohesion_after,0.25412582444145576
異なる射影,4,全体,sunny_specific_shared_edges,0
異なる射影,4,全体,rain_specific_shared_edges,0
異なる射影,4,全体,weather_common_edges,46
異なる射影,5,晴れ・快適,cohesion_before,0.2027062442682137
異なる射影,5,晴れ・快適,cohesion_after,0.3517984980187954
異なる射影,5,雨・不快,cohesion_before,0.2558855821643546
異なる射影,5,雨・不快,cohesion_after,0.3274044935428406
異なる射影,5,全体,sunny_specific_shared_edges,1
異なる射影,5,全体,rain_specific_shared_edges,0
異なる射影,5,全体,weather_common_edges,60
