group,trial,projection_seed,condition,label,text,shared_edge_total,removed_edge_count,removed_usage_mean,removed_usage_min,removed_usage_max,route_retention,node_count,edge_count,learning_similar_overlap,learning_unrelated_overlap
固定射影,1,20260804,無処置,学習文,今日は晴れて気持ちいい,14,0,0.0,0,0,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,無処置,類似文,今日の天気は最高だ,14,0,0.0,0,0,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,無処置,無関係文,犬は公園を走っている,14,0,0.0,0,0,1.0,29,20,0.33662132,0.05158119
固定射影,1,20260804,高頻度,学習文,今日は晴れて気持ちいい,14,4,50.0,50,50,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,高頻度,類似文,今日の天気は最高だ,14,4,50.0,50,50,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,高頻度,無関係文,犬は公園を走っている,14,4,50.0,50,50,1.0,29,20,0.33662132,0.05158119
固定射影,1,20260804,中頻度,学習文,今日は晴れて気持ちいい,14,4,49.75,49,50,1.0,45,36,0.32435897,0.05158119
固定射影,1,20260804,中頻度,類似文,今日の天気は最高だ,14,4,49.75,49,50,1.0,40,32,0.32435897,0.05158119
固定射影,1,20260804,中頻度,無関係文,犬は公園を走っている,14,4,49.75,49,50,1.0,29,20,0.32435897,0.05158119
固定射影,1,20260804,低頻度,学習文,今日は晴れて気持ちいい,14,4,36.0,32,39,1.0,45,36,0.32435897,0.05158119
固定射影,1,20260804,低頻度,類似文,今日の天気は最高だ,14,4,36.0,32,39,1.0,40,32,0.32435897,0.05158119
固定射影,1,20260804,低頻度,無関係文,犬は公園を走っている,14,4,36.0,32,39,1.0,29,20,0.32435897,0.05158119
固定射影,1,20260804,ランダム,学習文,今日は晴れて気持ちいい,14,4,47.25,39,50,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,ランダム,類似文,今日の天気は最高だ,14,4,47.25,39,50,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,ランダム,無関係文,犬は公園を走っている,14,4,47.25,39,50,1.0,29,20,0.33662132,0.05158119
固定射影,2,20260804,無処置,学習文,今日は晴れて気持ちいい,14,0,0.0,0,0,1.0,45,36,0.33662132,0.05158119
