group,condition,label,trials,route_retention_mean,route_retention_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,learning_similar_overlap_mean,learning_similar_overlap_std,learning_unrelated_overlap_mean,learning_unrelated_overlap_std,removed_edge_count_mean,removed_edge_count_std,removed_usage_mean_mean,removed_usage_mean_std,removed_usage_min_mean,removed_usage_min_std,removed_usage_max_mean,removed_usage_max_std
固定射影,ランダム,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33662132,0.0,0.05158119,0.0,4.0,0.0,44.7,2.4103941586387903,36.0,2.280350850198276,49.8,0.4
固定射影,ランダム,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33662132,0.0,0.05158119,0.0,4.0,0.0,44.7,2.4103941586387903,36.0,2.280350850198276,49.8,0.4
固定射影,ランダム,類似文,5,1.0,0.0,38.0,0.0,30.0,0.0,0.33662132,0.0,0.05158119,0.0,4.0,0.0,44.7,2.4103941586387903,36.0,2.280350850198276,49.8,0.4
固定射影,中頻度,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0,4.0,0.0,49.75,0.0,49.0,0.0,50.0,0.0
固定射影,中頻度,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0,4.0,0.0,49.75,0.0,49.0,0.0,50.0,0.0
固定射影,中頻度,類似文,5,1.0,0.0,38.8,0.9797958971132712,30.8,0.9797958971132713,0.33171638000000003,0.00600730010948345,0.05158119,0.0,4.0,0.0,49.75,0.0,49.0,0.0,50.0,0.0
固定射影,低頻度,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.32926391,0.00600730010948345,0.05158119,0.0,4.0,0.0,36.0,0.0,32.0,0.0,39.0,0.0
固定射影,低頻度,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.32926391,0.00600730010948345,0.05158119,0.0,4.0,0.0,36.0,0.0,32.0,0.0,39.0,0.0
固定射影,低頻度,類似文,5,1.0,0.0,39.2,0.9797958971132712,31.2,0.9797958971132713,0.32926391,0.00600730010948345,0.05158119,0.0,4.0,0.0,36.0,0.0,32.0,0.0,39.0,0.0
固定射影,無処置,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33662132,0.0,0.05158119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定射影,無処置,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33662132,0.0,0.05158119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
