group,trial,edge_a,edge_b,causal_score,usage
固定射影,1,22,66,0.02670058,39
固定射影,1,22,536,0.05308596,50
固定射影,1,144,148,0.03419886,41
固定射影,1,148,536,0.05858271,50
固定射影,1,169,545,0.03683114,50
固定射影,1,201,224,0.15084431,50
固定射影,1,201,235,0.0637005,50
固定射影,1,201,572,0.0637005,50
固定射影,1,212,224,0.08283643,50
固定射影,1,212,509,0.05724014,49
固定射影,1,235,362,0.03683114,37
固定射影,1,241,572,0.03683114,36
固定射影,1,349,545,0.03393567,50
固定射影,1,461,509,0.0326864,32
固定射影,2,22,66,0.02574573,39
固定射影,2,22,536,0.07283935,50
固定射影,2,144,148,0.05468233,41
固定射影,2,148,536,0.08065327,50
固定射影,2,169,545,0.03519792,50
固定射影,2,201,224,0.1688318,50
固定射影,2,201,235,0.08495445,50
固定射影,2,201,572,0.08495445,50
固定射影,2,212,224,0.103481,50
固定射影,2,212,509,0.07953646,49
固定射影,2,235,362,0.06135417,37
固定射影,2,241,572,0.06135417,36
固定射影,2,349,545,0.05741667,50
固定射影,2,461,509,0.03126042,32
固定射影,3,22,66,0.02670058,39
固定射影,3,22,536,0.05076879,50
固定射影,3,144,148,0.03179516,41
固定射影,3,148,536,0.05858271,50
固定射影,3,169,545,0.03683114,50
固定射影,3,201,224,0.15084431,50
固定射影,3,201,235,0.0637005,50
固定射影,3,201,572,0.06614423,50
固定射影,3,212,224,0.08525847,50
固定射影,3,212,509,0.05724014,49
固定射影,3,235,362,0.03683114,37
固定射影,3,241,572,0.03683114,36
固定射影,3,349,545,0.0326864,50
固定射影,3,461,509,0.0326864,32
固定射影,4,22,66,0.02670058,39
固定射影,4,22,536,0.05076879,50
固定射影,4,144,148,0.03179516,41
固定射影,4,148,536,0.05858271,50
固定射影,4,169,545,0.03773318,50
固定射影,4,201,224,0.15084431,50
固定射影,4,201,235,0.06614423,50
固定射影,4,201,572,0.06614423,50
固定射影,4,212,224,0.08283643,50
固定射影,4,212,509,0.05971684,49
固定射影,4,235,362,0.03683114,37
固定射影,4,241,572,0.03683114,36
固定射影,4,349,545,0.0326864,50
固定射影,4,461,509,0.0326864,32
固定射影,5,22,66,0.04958775,39
固定射影,5,22,536,0.04900027,50
固定射影,5,144,148,0.05468233,41
固定射影,5,148,536,0.05690551,50
固定射影,5,169,545,0.06135417,50
固定射影,5,201,224,0.1688318,50
固定射影,5,201,235,0.08495445,50
固定射影,5,201,572,0.08495445,50
固定射影,5,212,224,0.103481,50
固定射影,5,212,509,0.07953646,49
固定射影,5,235,362,0.03519792,37
固定射影,5,241,572,0.06135417,36
固定射影,5,349,545,0.03126042,50
固定射影,5,461,509,0.05741667,32
異なる射影,1,53,348,0.01794118,42
異なる射影,1,53,452,0.01837127,50
異なる射影,1,69,141,0.02853471,50
異なる射影,1,141,374,0.04118107,50
異なる射影,1,141,560,0.02001564,50
異なる射影,1,160,490,0.03821369,46
異なる射影,1,184,490,0.06285654,50
異なる射影,1,184,569,0.08275142,50
異なる射影,1,219,568,0.02853471,21
異なる射影,1,219,569,0.05802867,45
異なる射影,1,348,452,0.01837127,50
異なる射影,1,374,560,0.02151663,50
異なる射影,2,30,549,0.08343414,38
異なる射影,2,77,138,0.04370213,50
異なる射影,2,125,266,0.04653896,50
異なる射影,2,125,333,0.05503615,50
異なる射影,2,138,281,0.04370213,50
異なる射影,2,266,549,0.02024473,49
異なる射影,2,320,333,0.04356608,50
異なる射影,2,320,364,0.02517573,38
異なる射影,2,326,392,0.02694774,10
異なる射影,4,87,424,0.02377732,50
異なる射影,4,87,480,0.05574739,50
異なる射影,4,94,413,0.02350401,48
異なる射影,4,191,520,0.03252863,50
異なる射影,4,192,314,0.04797203,49
異なる射影,4,192,476,0.07327399,50
異なる射影,4,251,314,0.02277237,32
異なる射影,4,413,476,0.04797203,50
異なる射影,4,480,520,0.01647446,50
異なる射影,5,2,379,0.01866427,36
異なる射影,5,2,556,0.04520499,50
異なる射影,5,114,150,0.01528927,50
異なる射影,5,114,293,0.02078369,39
異なる射影,5,119,341,0.03761939,50
異なる射影,5,119,556,0.01528927,50
異なる射影,5,150,293,0.01528927,50
異なる射影,5,160,225,0.02233012,33
異なる射影,5,160,490,0.03388489,49
異なる射影,5,184,490,0.04887474,50
異なる射影,5,184,569,0.02233012,33
異なる射影,5,200,382,0.04672253,50
異なる射影,5,200,505,0.02439241,41
異なる射影,5,233,236,0.02233012,30
異なる射影,5,233,375,0.04672253,49
異なる射影,5,301,382,0.07345307,50
異なる射影,5,301,396,0.01528927,50
異なる射影,5,301,544,0.01817816,38
異なる射影,5,341,556,0.01528927,50
異なる射影,5,375,485,0.07120487,50
異なる射影,5,396,544,0.04263623,50
異なる射影,5,485,490,0.09403969,50
