group,trial,projection_seed,shared_edges,selected_each,causal_frequency_intersection,causal_frequency_jaccard,causal_covered_by_frequency,frequency_covered_by_causal,causal_usage_correlation,causal_only_count,frequency_only_count
固定射影,1,20260804,14,4,4,1.0,1.0,1.0,0.49617966,0,0
固定射影,2,20260804,14,4,4,1.0,1.0,1.0,0.52962676,0,0
固定射影,3,20260804,14,4,4,1.0,1.0,1.0,0.4953747,0,0
固定射影,4,20260804,14,4,4,1.0,1.0,1.0,0.50214281,0,0
固定射影,5,20260804,14,4,4,1.0,1.0,1.0,0.37931141,0,0
異なる射影,1,20261813,12,3,2,0.5,0.66666667,0.66666667,0.13248574,1,1
異なる射影,2,20262822,9,2,1,0.33333333,0.5,0.5,0.19921269,1,1
異なる射影,3,20263831,0,0,0,1.0,1.0,1.0,0.0,0,0
異なる射影,4,20264840,9,2,2,1.0,1.0,1.0,0.33079265,0,0
異なる射影,5,20265849,22,6,5,0.71428571,0.83333333,0.83333333,0.40857647,1,1
