group,condition,trials,train_retention_mean,train_retention_std,similar_retention_mean,similar_retention_std,unrelated_retention_mean,unrelated_retention_std,train_similar_overlap_mean,train_similar_overlap_std,train_edges_mean,train_edges_std,similar_edges_mean,similar_edges_std,unrelated_edges_mean,unrelated_edges_std
固定射影,ランダム25%,5,0.815555556,0.03183919966695309,0.7086019739999999,0.0663681952687302,1.0,0.0,0.28475148399999994,0.028287674403159116,32.0,1.4142135623730951,23.0,2.0976176963403033,20.0,0.0
固定射影,共通部分,5,0.79333333,0.0,0.66573684,0.018968195783742838,1.0,0.0,0.26318575,0.005701383335507259,30.0,0.0,21.8,0.9797958971132713,20.0,0.0
固定射影,因果のみ,5,1.0,0.0,1.0,0.0,1.0,0.0,0.33171638000000003,0.00600730010948345,36.0,0.0,30.8,0.9797958971132712,20.0,0.0
固定射影,因果上位25%,5,0.79333333,0.0,0.65411184,0.018921769375256605,1.0,0.0,0.26551333,0.004655159999999992,30.0,0.0,21.4,0.7999999999999999,20.0,0.0
固定射影,無処置,5,1.0,0.0,1.0,0.0,1.0,0.0,0.33171638000000003,0.00600730010948345,36.0,0.0,30.8,0.9797958971132712,20.0,0.0
固定射影,頻度のみ,5,1.0,0.0,1.0,0.0,1.0,0.0,0.33171638000000003,0.00600730010948345,36.0,0.0,30.8,0.9797958971132712,20.0,0.0
固定射影,頻度上位25%,5,0.79333333,0.0,0.65411184,0.018921769375256605,1.0,0.0,0.26085817,0.005701383335507259,30.0,0.0,22.2,0.9797958971132712,20.0,0.0
異なる射影,ランダム25%,5,0.9177696000000001,0.06298053428520624,0.893402734,0.06775460398094688,1.0,0.0,0.251290796,0.15557390503883428,32.0,2.5298221281347035,25.4,3.2619012860600183,22.8,1.8330302779823362
異なる射影,共通部分,5,0.897841258,0.08533978330937744,0.852347162,0.0836236971760133,1.0,0.0,0.237111538,0.15254743995302228,31.0,3.3466401061363023,24.0,2.9664793948382653,22.8,1.8330302779823362
異なる射影,因果のみ,5,0.973660392,0.02382457211585837,0.960343938,0.03258629195519881,1.0,0.0,0.27662885400000004,0.17194071073626332,33.4,3.1368774282716245,26.6,4.454211490264018,22.8,1.8330302779823362
異なる射影,因果上位25%,5,0.887241342,0.08120027697488412,0.854347162,0.0831748315380655,1.0,0.0,0.24656976999999997,0.15053031341409012,30.8,3.3105890714493698,24.2,2.9257477676655586,22.8,1.8330302779823362
異なる射影,無処置,5,1.0,0.0,1.0,0.0,1.0,0.0,0.285418802,0.1724338917728936,33.8,3.3105890714493698,27.4,4.454211490264018,22.8,1.8330302779823362
異なる射影,頻度のみ,5,0.9707604159999998,0.029925611018763572,0.97310947,0.024931473554631305,1.0,0.0,0.264166744,0.16976559015154852,33.2,2.7129319932501073,26.8,4.308131845707603,22.8,1.8330302779823362
異なる射影,頻度上位25%,5,0.8686016760000002,0.08970337163832151,0.84108626,0.10418977207015917,1.0,0.0,0.22085896,0.14819629512555527,30.2,2.7129319932501073,23.6,3.2,22.8,1.8330302779823362
