group,trial,projection_seed,condition,cut_edges,shared_edges,train_retention,similar_retention,unrelated_retention,train_similar_overlap,train_edges,similar_edges,unrelated_edges
固定射影,1,20260804,無処置,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,1,20260804,因果上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,30,23,20
固定射影,1,20260804,頻度上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,30,23,20
固定射影,1,20260804,共通部分,4,14,0.79333333,0.6695614,1.0,0.26784091,30,21,20
固定射影,1,20260804,因果のみ,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,1,20260804,頻度のみ,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,1,20260804,ランダム25%,4,14,0.85277778,0.77140351,1.0,0.32837057,34,25,20
固定射影,2,20260804,無処置,0,14,1.0,1.0,1.0,0.32435897,36,32,20
固定射影,2,20260804,因果上位25%,4,14,0.79333333,0.6309375,1.0,0.26784091,30,21,20
固定射影,2,20260804,頻度上位25%,4,14,0.79333333,0.6309375,1.0,0.26784091,30,21,20
固定射影,2,20260804,共通部分,4,14,0.79333333,0.6890625,1.0,0.25620301,30,23,20
固定射影,2,20260804,因果のみ,0,14,1.0,1.0,1.0,0.32435897,36,32,20
固定射影,2,20260804,頻度のみ,0,14,1.0,1.0,1.0,0.32435897,36,32,20
固定射影,2,20260804,ランダム25%,4,14,0.7675,0.601875,1.0,0.24522727,30,20,20
固定射影,3,20260804,無処置,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,3,20260804,因果上位25%,4,14,0.79333333,0.6695614,1.0,0.26784091,30,21,20
固定射影,3,20260804,頻度上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,30,23,20
固定射影,3,20260804,共通部分,4,14,0.79333333,0.6695614,1.0,0.26784091,30,21,20
固定射影,3,20260804,因果のみ,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,3,20260804,頻度のみ,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,3,20260804,ランダム25%,4,14,0.79333333,0.66035088,1.0,0.26513098,31,21,20
固定射影,4,20260804,無処置,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,4,20260804,因果上位25%,4,14,0.79333333,0.6695614,1.0,0.26784091,30,21,20
固定射影,4,20260804,頻度上位25%,4,14,0.79333333,0.6695614,1.0,0.25620301,30,23,20
固定射影,4,20260804,共通部分,4,14,0.79333333,0.6695614,1.0,0.25620301,30,23,20
固定射影,4,20260804,因果のみ,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,4,20260804,頻度のみ,0,14,1.0,1.0,1.0,0.33662132,36,30,20
固定射影,4,20260804,ランダム25%,4,14,0.81916667,0.76219298,1.0,0.29643142,33,24,20
固定射影,5,20260804,無処置,0,14,1.0,1.0,1.0,0.32435897,36,32,20
固定射影,5,20260804,因果上位25%,4,14,0.79333333,0.6309375,1.0,0.26784091,30,21,20
固定射影,5,20260804,頻度上位25%,4,14,0.79333333,0.6309375,1.0,0.26784091,30,21,20
固定射影,5,20260804,共通部分,4,14,0.79333333,0.6309375,1.0,0.26784091,30,21,20
固定射影,5,20260804,因果のみ,0,14,1.0,1.0,1.0,0.32435897,36,32,20
固定射影,5,20260804,頻度のみ,0,14,1.0,1.0,1.0,0.32435897,36,32,20
固定射影,5,20260804,ランダム25%,4,14,0.845,0.7471875,1.0,0.28859718,32,25,20
異なる射影,1,20261813,無処置,0,12,1.0,1.0,1.0,0.24282787,34,26,21
異なる射影,1,20261813,因果上位25%,3,12,0.87026542,0.83382353,1.0,0.19637931,31,23,21
異なる射影,1,20261813,頻度上位25%,3,12,0.87880201,0.77352941,1.0,0.15514184,33,21,21
異なる射影,1,20261813,共通部分,2,12,0.89791966,0.83382353,1.0,0.19242815,32,23,21
異なる射影,1,20261813,因果のみ,1,12,0.94469154,0.92941176,1.0,0.20829787,33,24,21
異なる射影,1,20261813,頻度のみ,1,12,0.98088235,0.93970588,1.0,0.20604016,35,24,21
異なる射影,1,20261813,ランダム25%,3,12,0.87880201,0.84411765,1.0,0.19770833,32,25,21
異なる射影,2,20262822,無処置,0,9,1.0,1.0,1.0,0.2695,37,27,25
異なる射影,2,20262822,因果上位25%,2,9,0.95708709,0.83962963,1.0,0.23257077,37,24,25
異なる射影,2,20262822,頻度上位25%,2,9,0.9063964,0.8837037,1.0,0.17715625,34,25,25
異なる射影,2,20262822,共通部分,1,9,0.98243243,0.82962963,1.0,0.18923077,37,23,25
異なる射影,2,20262822,因果のみ,1,9,0.97465465,0.93185185,1.0,0.27039171,37,26,25
異なる射影,2,20262822,頻度のみ,1,9,0.92396396,0.97592593,1.0,0.22403493,35,28,25
異なる射影,2,20262822,ランダム25%,2,9,0.96486486,0.90777778,1.0,0.23574617,36,25,25
異なる射影,3,20263831,無処置,0,0,1.0,1.0,1.0,0.0,28,20,22
異なる射影,3,20263831,因果上位25%,0,0,1.0,1.0,1.0,0.0,28,20,22
異なる射影,3,20263831,頻度上位25%,0,0,1.0,1.0,1.0,0.0,28,20,22
