projection_group,trial,order_pair,metric,probe,k,value
固定射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,晴れ未経験,0,0.85625
固定射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,雨未経験,0,0.94964747
固定射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,曖昧天気,0,0.7675
固定射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,遠い対照,0,0.87855114
固定射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.94833333
固定射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.88020833
固定射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.91345274
固定射影,1,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.87855114
固定射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.80833333
固定射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.84002439
固定射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.74166667
固定射影,1,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,1.0
固定射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,晴れ未経験,0,0.85625
固定射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,雨未経験,0,0.94964747
固定射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,曖昧天気,0,0.7675
固定射影,2,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,遠い対照,0,0.87855114
固定射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.94833333
固定射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.88020833
固定射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.91345274
固定射影,2,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.87855114
固定射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.80833333
固定射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.84002439
固定射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.74166667
固定射影,2,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,1.0
固定射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,晴れ未経験,0,0.85625
固定射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,雨未経験,0,0.94964747
固定射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,曖昧天気,0,0.7675
固定射影,3,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,遠い対照,0,0.87855114
固定射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.94833333
固定射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.88020833
固定射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.91345274
固定射影,3,晴れ→雨→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,0.87855114
固定射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,晴れ未経験,0,0.80833333
固定射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,雨未経験,0,0.84002439
固定射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,曖昧天気,0,0.74166667
固定射影,3,雨→晴れ→曖昧 vs 曖昧→晴れ→雨,final_route_similarity,遠い対照,0,1.0
異なる射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,晴れ未経験,0,0.82405914
異なる射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,雨未経験,0,0.875
異なる射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,曖昧天気,0,0.88659091
異なる射影,1,晴れ→雨→曖昧 vs 雨→晴れ→曖昧,final_route_similarity,遠い対照,0,0.98030303
