projection_group,trial,order,probe,sunny_affinity,rainy_affinity,margin,edge_count
固定射影,1,晴れ→雨→曖昧,晴れ未経験,0.37126967,0.0833929,0.28787677,36
固定射影,1,晴れ→雨→曖昧,雨未経験,0.0661352,0.25103723,-0.18490203,35
固定射影,1,晴れ→雨→曖昧,曖昧天気,0.18089951,0.1802988,0.00060071,31
固定射影,1,晴れ→雨→曖昧,遠い対照,0.04847524,0.00920659,0.03926865,21
固定射影,1,雨→晴れ→曖昧,晴れ未経験,0.37304785,0.08548812,0.28755974,36
固定射影,1,雨→晴れ→曖昧,雨未経験,0.07459858,0.25586085,-0.18126227,37
固定射影,1,雨→晴れ→曖昧,曖昧天気,0.17724926,0.17797351,-0.00072425,32
固定射影,1,雨→晴れ→曖昧,遠い対照,0.03700242,0.00901956,0.02798286,20
固定射影,1,曖昧→晴れ→雨,晴れ未経験,0.39018098,0.08641305,0.30376793,34
固定射影,1,曖昧→晴れ→雨,雨未経験,0.06035214,0.25165188,-0.19129975,38
固定射影,1,曖昧→晴れ→雨,曖昧天気,0.18054145,0.18992381,-0.00938236,30
固定射影,1,曖昧→晴れ→雨,遠い対照,0.03805615,0.00934641,0.02870974,20
固定射影,2,晴れ→雨→曖昧,晴れ未経験,0.37126967,0.0833929,0.28787677,36
固定射影,2,晴れ→雨→曖昧,雨未経験,0.0661352,0.25103723,-0.18490203,35
固定射影,2,晴れ→雨→曖昧,曖昧天気,0.18089951,0.1802988,0.00060071,31
固定射影,2,晴れ→雨→曖昧,遠い対照,0.04847524,0.00920659,0.03926865,21
固定射影,2,雨→晴れ→曖昧,晴れ未経験,0.37304785,0.08548812,0.28755974,36
固定射影,2,雨→晴れ→曖昧,雨未経験,0.07459858,0.25586085,-0.18126227,37
固定射影,2,雨→晴れ→曖昧,曖昧天気,0.17724926,0.17797351,-0.00072425,32
固定射影,2,雨→晴れ→曖昧,遠い対照,0.03700242,0.00901956,0.02798286,20
固定射影,2,曖昧→晴れ→雨,晴れ未経験,0.39018098,0.08641305,0.30376793,34
固定射影,2,曖昧→晴れ→雨,雨未経験,0.06035214,0.25165188,-0.19129975,38
固定射影,2,曖昧→晴れ→雨,曖昧天気,0.18054145,0.18992381,-0.00938236,30
固定射影,2,曖昧→晴れ→雨,遠い対照,0.03805615,0.00934641,0.02870974,20
固定射影,3,晴れ→雨→曖昧,晴れ未経験,0.37126967,0.0833929,0.28787677,36
固定射影,3,晴れ→雨→曖昧,雨未経験,0.0661352,0.25103723,-0.18490203,35
固定射影,3,晴れ→雨→曖昧,曖昧天気,0.18089951,0.1802988,0.00060071,31
固定射影,3,晴れ→雨→曖昧,遠い対照,0.04847524,0.00920659,0.03926865,21
固定射影,3,雨→晴れ→曖昧,晴れ未経験,0.37304785,0.08548812,0.28755974,36
固定射影,3,雨→晴れ→曖昧,雨未経験,0.07459858,0.25586085,-0.18126227,37
固定射影,3,雨→晴れ→曖昧,曖昧天気,0.17724926,0.17797351,-0.00072425,32
固定射影,3,雨→晴れ→曖昧,遠い対照,0.03700242,0.00901956,0.02798286,20
固定射影,3,曖昧→晴れ→雨,晴れ未経験,0.39018098,0.08641305,0.30376793,34
固定射影,3,曖昧→晴れ→雨,雨未経験,0.06035214,0.25165188,-0.19129975,38
固定射影,3,曖昧→晴れ→雨,曖昧天気,0.18054145,0.18992381,-0.00938236,30
固定射影,3,曖昧→晴れ→雨,遠い対照,0.03805615,0.00934641,0.02870974,20
異なる射影,1,晴れ→雨→曖昧,晴れ未経験,0.13996928,0.13030352,0.00966577,28
異なる射影,1,晴れ→雨→曖昧,雨未経験,0.16191195,0.28068847,-0.11877652,46
異なる射影,1,晴れ→雨→曖昧,曖昧天気,0.18734648,0.2399707,-0.05262422,37
異なる射影,1,晴れ→雨→曖昧,遠い対照,0.05220017,0.10619166,-0.05399149,32
異なる射影,1,雨→晴れ→曖昧,晴れ未経験,0.12563129,0.12138722,0.00424407,27
異なる射影,1,雨→晴れ→曖昧,雨未経験,0.19772334,0.29446315,-0.09673981,50
異なる射影,1,雨→晴れ→曖昧,曖昧天気,0.20526938,0.23848223,-0.03321285,37
異なる射影,1,雨→晴れ→曖昧,遠い対照,0.05098308,0.10311052,-0.05212743,33
異なる射影,1,曖昧→晴れ→雨,晴れ未経験,0.12425003,0.11898663,0.0052634,30
異なる射影,1,曖昧→晴れ→雨,雨未経験,0.19852315,0.28397407,-0.08545092,48
異なる射影,1,曖昧→晴れ→雨,曖昧天気,0.20168627,0.24325566,-0.04156939,41
異なる射影,1,曖昧→晴れ→雨,遠い対照,0.05192747,0.10258931,-0.05066183,30
異なる射影,2,晴れ→雨→曖昧,晴れ未経験,0.25318165,0.26049441,-0.00731276,41
異なる射影,2,晴れ→雨→曖昧,雨未経験,0.20605437,0.37528734,-0.16923297,46
異なる射影,2,晴れ→雨→曖昧,曖昧天気,0.26721592,0.20931997,0.05789594,35
異なる射影,2,晴れ→雨→曖昧,遠い対照,0.00162037,0.02509654,-0.02347617,21
異なる射影,2,雨→晴れ→曖昧,晴れ未経験,0.22654514,0.25263269,-0.02608755,39
異なる射影,2,雨→晴れ→曖昧,雨未経験,0.17810781,0.35669533,-0.17858752,44
異なる射影,2,雨→晴れ→曖昧,曖昧天気,0.25527758,0.21047794,0.04479964,34
異なる射影,2,雨→晴れ→曖昧,遠い対照,0.01003673,0.04168795,-0.03165122,22
異なる射影,2,曖昧→晴れ→雨,晴れ未経験,0.27579096,0.27828415,-0.00249318,43
異なる射影,2,曖昧→晴れ→雨,雨未経験,0.23144036,0.40440768,-0.17296732,46
異なる射影,2,曖昧→晴れ→雨,曖昧天気,0.25964619,0.19296746,0.06667873,31
異なる射影,2,曖昧→晴れ→雨,遠い対照,0.00157658,0.0153355,-0.01375892,21
異なる射影,3,晴れ→雨→曖昧,晴れ未経験,0.17065217,0.09284898,0.07780319,34
異なる射影,3,晴れ→雨→曖昧,雨未経験,0.09949875,0.23789791,-0.13839915,33
異なる射影,3,晴れ→雨→曖昧,曖昧天気,0.10322731,0.2374091,-0.13418179,35
異なる射影,3,晴れ→雨→曖昧,遠い対照,0.07070063,0.08543246,-0.01473183,30
異なる射影,3,雨→晴れ→曖昧,晴れ未経験,0.14844342,0.08449282,0.06395061,34
異なる射影,3,雨→晴れ→曖昧,雨未経験,0.10519182,0.21590575,-0.11071393,31
異なる射影,3,雨→晴れ→曖昧,曖昧天気,0.09726317,0.26257801,-0.16531484,39
異なる射影,3,雨→晴れ→曖昧,遠い対照,0.07260011,0.08232226,-0.00972214,30
異なる射影,3,曖昧→晴れ→雨,晴れ未経験,0.14630388,0.09428628,0.0520176,35
異なる射影,3,曖昧→晴れ→雨,雨未経験,0.10276675,0.24713455,-0.1443678,33
異なる射影,3,曖昧→晴れ→雨,曖昧天気,0.10357878,0.22448939,-0.1209106,37
異なる射影,3,曖昧→晴れ→雨,遠い対照,0.07107501,0.08452654,-0.01345153,32
