projection_group,trial,order,transition,probe,route_retention,new_edges,removed_edges
固定射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,晴れ未経験,1.0,10,0
固定射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,雨未経験,0.84453228,6,4
固定射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,曖昧天気,0.84453228,7,4
固定射影,1,晴れ→雨→曖昧,初期→1:晴れ追加後,遠い対照,0.84119048,3,4
固定射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,晴れ未経験,1.0,3,0
固定射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,雨未経験,0.96370588,9,1
固定射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,曖昧天気,1.0,7,0
固定射影,1,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,遠い対照,0.91166667,1,2
固定射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,晴れ未経験,1.0,3,0
固定射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,雨未経験,0.9719697,3,1
固定射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,曖昧天気,0.94393939,0,2
固定射影,1,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,遠い対照,0.90744102,4,2
固定射影,1,雨→晴れ→曖昧,初期→1:雨追加後,晴れ未経験,0.91086207,6,2
固定射影,1,雨→晴れ→曖昧,初期→1:雨追加後,雨未経験,0.88339921,13,3
固定射影,1,雨→晴れ→曖昧,初期→1:雨追加後,曖昧天気,0.97173913,11,1
固定射影,1,雨→晴れ→曖昧,初期→1:雨追加後,遠い対照,0.79857143,1,5
固定射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,晴れ未経験,1.0,9,0
固定射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,雨未経験,0.98030303,3,1
固定射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,曖昧天気,0.9719697,5,1
固定射影,1,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,遠い対照,1.0,1,0
固定射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,晴れ未経験,1.0,3,0
固定射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,雨未経験,0.97347403,3,1
固定射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,曖昧天気,0.87411868,0,5
固定射影,1,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,遠い対照,0.95138889,3,1
固定射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,晴れ未経験,0.95543103,9,1
固定射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,雨未経験,0.92226614,7,2
固定射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,曖昧天気,0.84453228,4,4
固定射影,1,曖昧→晴れ→雨,初期→1:曖昧追加後,遠い対照,0.84119048,3,4
固定射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,晴れ未経験,0.96732625,6,1
固定射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,雨未経験,0.96757519,6,1
固定射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,曖昧天気,1.0,5,0
固定射影,1,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,遠い対照,0.95583333,2,1
固定射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,晴れ未経験,0.94393939,3,2
固定射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,雨未経験,0.95227273,7,2
固定射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,曖昧天気,0.90197876,5,3
固定射影,1,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,遠い対照,0.91551459,1,2
固定射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,晴れ未経験,1.0,10,0
固定射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,雨未経験,0.84453228,6,4
固定射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,曖昧天気,0.84453228,7,4
固定射影,2,晴れ→雨→曖昧,初期→1:晴れ追加後,遠い対照,0.84119048,3,4
固定射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,晴れ未経験,1.0,3,0
固定射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,雨未経験,0.96370588,9,1
固定射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,曖昧天気,1.0,7,0
固定射影,2,晴れ→雨→曖昧,1:晴れ追加後→2:雨追加後,遠い対照,0.91166667,1,2
固定射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,晴れ未経験,1.0,3,0
固定射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,雨未経験,0.9719697,3,1
固定射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,曖昧天気,0.94393939,0,2
固定射影,2,晴れ→雨→曖昧,2:雨追加後→3:曖昧追加後,遠い対照,0.90744102,4,2
固定射影,2,雨→晴れ→曖昧,初期→1:雨追加後,晴れ未経験,0.91086207,6,2
固定射影,2,雨→晴れ→曖昧,初期→1:雨追加後,雨未経験,0.88339921,13,3
固定射影,2,雨→晴れ→曖昧,初期→1:雨追加後,曖昧天気,0.97173913,11,1
固定射影,2,雨→晴れ→曖昧,初期→1:雨追加後,遠い対照,0.79857143,1,5
固定射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,晴れ未経験,1.0,9,0
固定射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,雨未経験,0.98030303,3,1
固定射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,曖昧天気,0.9719697,5,1
固定射影,2,雨→晴れ→曖昧,1:雨追加後→2:晴れ追加後,遠い対照,1.0,1,0
固定射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,晴れ未経験,1.0,3,0
固定射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,雨未経験,0.97347403,3,1
固定射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,曖昧天気,0.87411868,0,5
固定射影,2,雨→晴れ→曖昧,2:晴れ追加後→3:曖昧追加後,遠い対照,0.95138889,3,1
固定射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,晴れ未経験,0.95543103,9,1
固定射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,雨未経験,0.92226614,7,2
固定射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,曖昧天気,0.84453228,4,4
固定射影,2,曖昧→晴れ→雨,初期→1:曖昧追加後,遠い対照,0.84119048,3,4
固定射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,晴れ未経験,0.96732625,6,1
固定射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,雨未経験,0.96757519,6,1
固定射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,曖昧天気,1.0,5,0
固定射影,2,曖昧→晴れ→雨,1:曖昧追加後→2:晴れ追加後,遠い対照,0.95583333,2,1
固定射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,晴れ未経験,0.94393939,3,2
固定射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,雨未経験,0.95227273,7,2
固定射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,曖昧天気,0.90197876,5,3
固定射影,2,曖昧→晴れ→雨,2:晴れ追加後→3:雨追加後,遠い対照,0.91551459,1,2
固定射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,晴れ未経験,1.0,10,0
固定射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,雨未経験,0.84453228,6,4
固定射影,3,晴れ→雨→曖昧,初期→1:晴れ追加後,曖昧天気,0.84453228,7,4
