group,function_type,trials,present_trials,occurrence_rate,edge_count_mean,edge_count_std,centroid_similarity_mean,centroid_similarity_std,signature_similarity_mean,signature_similarity_std,role_match_mean,role_match_std,feature_0_mean,feature_1_mean,feature_2_mean,feature_3_mean,feature_4_mean,feature_5_mean,feature_6_mean,feature_7_mean,feature_8_mean,feature_9_mean
固定射影,天気共通クラスタ,8,2,0.25,22.0,1.0,0.9995454830051818,5.361720960606053e-06,0.9998464588745435,2.927687850157179e-05,1.0,0.0,1.0,0.18012422360248448,0.7722567287784678,0.9565217391304348,0.0,0.40993788819875776,0.681159420289855,0.0,1.0,0.0
固定射影,晴れ中心クラスタ,8,8,1.0,25.75,6.398241946034863,0.932148168455153,0.12261493487511142,0.9755437427903167,0.04115863529941704,0.875,0.33071891388307384,0.9107142857142857,0.5225017959770115,0.7758805418719211,0.5219163074712644,0.0,0.20257722701149428,0.7506955562397373,0.0,0.6177486145320197,0.0125
固定射影,雨中心クラスタ,8,8,1.0,36.625,9.590848502609141,0.9711834439246241,0.019116455991546443,0.9956360068396942,0.0020314271246814485,1.0,0.0,0.021786320640310452,0.170435810565673,0.11859047895473979,0.55681494374623,0.47066435826337016,0.606939935064935,0.05268686421937196,0.7183477895883019,0.008064516129032258,0.005059523809523809
固定射影,曖昧・橋渡しクラスタ,8,2,0.25,20.5,2.5,0.9126395808269477,0.03477116031244154,0.9143730755166875,0.0010198100439079427,1.0,0.0,0.358695652173913,0.05555555555555555,0.043478260869565216,0.1388888888888889,0.0,0.1111111111111111,0.27294685990338163,0.1956521739130435,0.7391304347826086,0.0
固定射影,混合・補助クラスタ,8,8,1.0,79.0,15.337861650177967,0.9012689824226037,0.08927719397773733,0.9705966242728505,0.015739769614879866,1.0,0.0,0.11593074719740913,0.3142742171495464,0.12720015306881052,0.017586864473353444,0.12169441717417766,0.055741782250565156,0.08099198047883445,0.06543043643021694,0.10019897254502033,0.26740953827838476
異なる射影,天気共通クラスタ,8,4,0.5,15.75,5.494315243958978,0.9488634160405568,0.03654179720466809,0.9111742320689471,0.09010641189401312,1.0,0.0,0.7142857142857143,0.8239949965493444,0.8544685990338164,0.7797403381642513,0.7210791925465838,0.9196859903381642,0.628968253968254,0.7880434782608696,0.6709584195997239,0.017857142857142856
異なる射影,晴れ中心クラスタ,8,5,0.625,22.6,9.76933979345585,0.8905216962842346,0.06808908198095305,0.9519704301541116,0.04759931077774991,1.0,0.0,0.7446153846153847,0.4079821627647714,0.7079120879120879,0.49630036630036634,0.3965217391304348,0.16205128205128205,0.842675585284281,0.10047619047619047,0.4786797260710304,0.1518012422360248
異なる射影,雨中心クラスタ,8,6,0.75,24.0,11.503622617824933,0.8789651692405894,0.033064846864676936,0.9143524850400512,0.05811447300550918,0.8333333333333334,0.372677996249965,0.2865745365745366,0.08267457180500659,0.2161172161172161,0.30415357589270636,0.5192850627633235,0.6676692872345047,0.028808148373365764,0.6852688374427505,0.3254438797917059,0.0882487078139252
異なる射影,曖昧・橋渡しクラスタ,8,3,0.375,32.333333333333336,7.3181661333667165,0.9421313089052643,0.03491367322433511,0.9694175552785508,0.0290174278968652,1.0,0.0,0.38367003367003366,0.3209427609427609,0.2024915824915825,0.42580808080808086,0.2931144781144781,0.5248316498316499,0.4078787878787879,0.2948148148148148,0.884074074074074,0.0
異なる射影,混合・補助クラスタ,8,8,1.0,90.0,13.35102992281869,0.8429361755666442,0.07635524434504914,0.9654885271961647,0.02795275731155713,1.0,0.0,0.14553175382845412,0.2792385585278073,0.23832091050257048,0.1392819385173478,0.16254680153575263,0.17117607253037315,0.11781890454768808,0.13529997895161466,0.07347885575945383,0.19008217677408107
