group,trial,projection_seed,fraction,phase,label,available_shared_edges,disabled_edges,route_retention,node_count,edge_count,train_similar_overlap,train_unrelated_overlap
固定射影,1,20260804,0.0,切断,学習文,14,0,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,0.0,切断,類似文,14,0,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,0.0,切断,無関係文,14,0,1.0,29,20,0.33662132,0.05158119
固定射影,1,20260804,0.0,復元,学習文,14,0,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,0.0,復元,類似文,14,0,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,0.0,復元,無関係文,14,0,1.0,29,20,0.33662132,0.05158119
固定射影,1,20260804,0.25,切断,学習文,14,4,0.845,42,33,0.32291667,0.05444118
固定射影,1,20260804,0.25,切断,類似文,14,4,0.70964912,31,23,0.32291667,0.05444118
固定射影,1,20260804,0.25,切断,無関係文,14,4,1.0,29,20,0.32291667,0.05444118
固定射影,1,20260804,0.25,復元,学習文,14,0,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,0.25,復元,類似文,14,0,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,0.25,復元,無関係文,14,0,1.0,29,20,0.33662132,0.05158119
固定射影,1,20260804,0.5,切断,学習文,14,7,0.66416667,37,28,0.24485294,0.06
固定射影,1,20260804,0.5,切断,類似文,14,7,0.49350877,26,17,0.24485294,0.06
固定射影,1,20260804,0.5,切断,無関係文,14,7,1.0,29,20,0.24485294,0.06
固定射影,1,20260804,0.5,復元,学習文,14,0,1.0,45,36,0.32435897,0.05158119
固定射影,1,20260804,0.5,復元,類似文,14,0,1.0,40,32,0.32435897,0.05158119
固定射影,1,20260804,0.5,復元,無関係文,14,0,1.0,29,20,0.32435897,0.05158119
固定射影,1,20260804,0.75,切断,学習文,14,10,0.6125,36,27,0.19028067,0.06125367
固定射影,1,20260804,0.75,切断,類似文,14,10,0.43175439,26,17,0.19028067,0.06125367
固定射影,1,20260804,0.75,切断,無関係文,14,10,1.0,29,20,0.19028067,0.06125367
固定射影,1,20260804,0.75,復元,学習文,14,0,1.0,45,36,0.33662132,0.05158119
固定射影,1,20260804,0.75,復元,類似文,14,0,1.0,38,30,0.33662132,0.05158119
固定射影,1,20260804,0.75,復元,無関係文,14,0,1.0,29,20,0.33662132,0.05158119
固定射影,1,20260804,1.0,切断,学習文,14,14,0.6125,36,27,0.2,0.06125367
固定射影,1,20260804,1.0,切断,類似文,14,14,0.43175439,24,15,0.2,0.06125367
固定射影,1,20260804,1.0,切断,無関係文,14,14,1.0,29,20,0.2,0.06125367
