group,fraction,phase,label,trials,route_retention_mean,route_retention_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,train_similar_overlap_mean,train_similar_overlap_std,train_unrelated_overlap_mean,train_unrelated_overlap_std
固定射影,0.0,切断,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.0,切断,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.0,切断,類似文,5,0.9883749999999999,0.023249999999999993,38.8,0.9797958971132712,30.8,0.9797958971132712,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.0,復元,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,0.0,復元,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,0.0,復元,類似文,5,0.97675,0.028475318259854436,38.4,0.7999999999999999,30.4,0.7999999999999999,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,0.25,切断,学習文,5,0.845,0.0,42.0,0.0,33.0,0.0,0.31751175800000003,0.006619638252322878,0.05444118,0.0
固定射影,0.25,切断,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.31751175800000003,0.006619638252322878,0.05444118,0.0
固定射影,0.25,切断,類似文,5,0.7049144720000001,0.019273736016295784,31.8,0.9797958971132713,23.8,0.9797958971132713,0.31751175800000003,0.006619638252322878,0.05444118,0.0
固定射影,0.25,復元,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,0.25,復元,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,0.25,復元,類似文,5,0.97675,0.028475318259854436,38.4,0.7999999999999999,30.4,0.7999999999999999,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,0.5,切断,学習文,5,0.66416667,0.0,37.0,0.0,28.0,0.0,0.242520882,0.004664115999999996,0.06,0.0
固定射影,0.5,切断,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.242520882,0.004664115999999996,0.06,0.0
固定射影,0.5,切断,類似文,5,0.493855262,0.018385636990844126,26.4,0.7999999999999999,17.4,0.7999999999999999,0.242520882,0.004664115999999996,0.06,0.0
固定射影,0.5,復元,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.5,復元,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.5,復元,類似文,5,0.9883749999999999,0.023249999999999993,38.8,0.9797958971132712,30.8,0.9797958971132713,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.75,切断,学習文,5,0.6125,0.0,36.0,0.0,27.0,0.0,0.19416840200000002,0.0047614798283449646,0.06125367,0.0
固定射影,0.75,切断,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.19416840200000002,0.0047614798283449646,0.06125367,0.0
固定射影,0.75,切断,類似文,5,0.43355263399999994,0.01851221447383604,25.2,0.9797958971132713,16.2,0.9797958971132713,0.19416840200000002,0.0047614798283449646,0.06125367,0.0
固定射影,0.75,復元,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.75,復元,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,0.75,復元,類似文,5,1.0,0.0,38.8,0.9797958971132712,30.8,0.9797958971132713,0.33171638000000003,0.00600730010948345,0.05158119,0.0
固定射影,1.0,切断,学習文,5,0.6125,0.0,36.0,0.0,27.0,0.0,0.198056134,0.003887732,0.06125367,0.0
固定射影,1.0,切断,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.198056134,0.003887732,0.06125367,0.0
固定射影,1.0,切断,類似文,5,0.42192763399999994,0.012035269013416531,24.4,0.7999999999999999,15.4,0.7999999999999999,0.198056134,0.003887732,0.06125367,0.0
固定射影,1.0,復元,学習文,5,1.0,0.0,45.0,0.0,36.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0
固定射影,1.0,復元,無関係文,5,1.0,0.0,29.0,0.0,20.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0
