group,condition,probe_label,trials,route_retention_mean,route_retention_std,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,affinity_margin_mean,affinity_margin_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,cut_edge_count_mean,cut_edge_count_std
固定射影,ランダム同数,晴れ未経験,5,0.7184848500000001,0.054424530761198825,0.225461002,0.03440452075306349,0.059947126,0.006523717261444121,0.165513874,0.034977909354374274,34.6,1.4966629547095767,25.8,0.7483314773547883,17.0,0.0
固定射影,ランダム同数,曖昧天気,5,0.733944446,0.03538561858882201,0.206941868,0.012675523543801097,0.11347108799999998,0.010567059758588286,0.09347077999999999,0.019756240621811628,37.4,1.7435595774162693,28.4,1.2,17.0,0.0
固定射影,ランダム同数,無関係,5,0.9468784039999999,0.03231058860381507,0.020073392000000002,0.0036368512585773964,0.00993605,7.080000000000003e-05,0.010137346,0.0036946208498117904,28.2,0.39999999999999997,18.2,0.39999999999999997,17.0,0.0
固定射影,ランダム同数,雨未経験,5,0.835151516,0.04607804586846133,0.059368637999999994,0.00452082046740368,0.206398422,0.010408405442808995,-0.14702978400000002,0.011915630978392372,37.4,2.4166091947189146,28.4,2.0591260281974,17.0,0.0
固定射影,天気幹線切断,晴れ未経験,5,1.0,0.0,0.36322572,0.0,0.08883915,0.0,0.27438657,0.0,42.0,0.0,33.0,0.0,0.0,0.0
固定射影,天気幹線切断,曖昧天気,5,1.0,0.0,0.315874,0.0,0.16392125,0.0,0.15195276,0.0,45.0,0.0,36.0,0.0,0.0,0.0
固定射影,天気幹線切断,無関係,5,1.0,0.0,0.025985169999999995,3.469446951953614e-18,0.00979445,0.0,0.01619072,0.0,29.0,0.0,19.0,0.0,0.0,0.0
固定射影,天気幹線切断,雨未経験,5,1.0,0.0,0.07409229,0.0,0.26789436,0.0,-0.19380207,0.0,42.0,0.0,33.0,0.0,0.0,0.0
固定射影,晴れ枝切断,晴れ未経験,5,0.74469697,0.0,0.2286864,0.0,0.09776772,0.0,0.13091868,0.0,36.0,0.0,27.0,0.0,10.0,0.0
固定射影,晴れ枝切断,曖昧天気,5,0.85277778,0.0,0.2648571,0.0,0.17515336,0.0,0.08970374,0.0,41.0,0.0,32.0,0.0,10.0,0.0
固定射影,晴れ枝切断,無関係,5,1.0,0.0,0.025985169999999995,3.469446951953614e-18,0.00979445,0.0,0.01619072,0.0,29.0,0.0,19.0,0.0,10.0,0.0
固定射影,晴れ枝切断,雨未経験,5,1.0,0.0,0.07409229,0.0,0.26789436,0.0,-0.19380207,0.0,42.0,0.0,33.0,0.0,10.0,0.0
固定射影,無処置,晴れ未経験,5,1.0,0.0,0.36322572,0.0,0.08883915,0.0,0.27438657,0.0,42.0,0.0,33.0,0.0,0.0,0.0
固定射影,無処置,曖昧天気,5,1.0,0.0,0.315874,0.0,0.16392125,0.0,0.15195276,0.0,45.0,0.0,36.0,0.0,0.0,0.0
固定射影,無処置,無関係,5,1.0,0.0,0.025985169999999995,3.469446951953614e-18,0.00979445,0.0,0.01619072,0.0,29.0,0.0,19.0,0.0,0.0,0.0
固定射影,無処置,雨未経験,5,1.0,0.0,0.07409229,0.0,0.26789436,0.0,-0.19380207,0.0,42.0,0.0,33.0,0.0,0.0,0.0
固定射影,部分共有切断,晴れ未経験,5,0.61590909,0.0,0.17718519,0.0,0.01658074,0.0,0.16060444,0.0,34.0,0.0,25.0,0.0,32.0,0.0
固定射影,部分共有切断,曖昧天気,5,0.47305556,0.0,0.09173514,0.0,0.02056199,0.0,0.07117316,0.0,32.0,0.0,22.0,0.0,32.0,0.0
固定射影,部分共有切断,無関係,5,1.0,0.0,0.025985169999999995,3.469446951953614e-18,0.00979445,0.0,0.01619072,0.0,29.0,0.0,19.0,0.0,32.0,0.0
固定射影,部分共有切断,雨未経験,5,0.7,0.0,0.02492803,0.0,0.14091434,0.0,-0.11598631,0.0,36.0,0.0,26.0,0.0,32.0,0.0
固定射影,雨枝切断,晴れ未経験,5,1.0,0.0,0.36322572,0.0,0.08883915,0.0,0.27438657,0.0,42.0,0.0,33.0,0.0,17.0,0.0
固定射影,雨枝切断,曖昧天気,5,1.0,0.0,0.315874,0.0,0.16392125,0.0,0.15195276,0.0,45.0,0.0,36.0,0.0,17.0,0.0
固定射影,雨枝切断,無関係,5,1.0,0.0,0.025985169999999995,3.469446951953614e-18,0.00979445,0.0,0.01619072,0.0,29.0,0.0,19.0,0.0,17.0,0.0
固定射影,雨枝切断,雨未経験,5,0.76439394,0.0,0.08089656,0.0,0.17761461,0.0,-0.09671805,0.0,36.0,0.0,27.0,0.0,17.0,0.0
異なる射影,ランダム同数,晴れ未経験,5,0.911878612,0.07184842383364061,0.222262346,0.09504710558929957,0.183285384,0.07546886678258091,0.038976964,0.06596061325298898,38.4,2.4166091947189146,30.4,1.624807680927192,9.6,1.3564659966250536
異なる射影,ランダム同数,曖昧天気,5,0.924840694,0.04625465228842074,0.198231912,0.10352085557153215,0.23050255599999997,0.06280231916091462,-0.032270648,0.04976944293387195,40.8,3.7094473981982814,32.6,4.923413450036469,9.6,1.3564659966250536
