group,trial,projection_seed,condition,probe_label,probe_text,cut_edge_count,route_retention,sunny_affinity,rainy_affinity,affinity_margin,node_count,edge_count
固定射影,1,20260804,無処置,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,1,20260804,無処置,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,1,20260804,無処置,曖昧天気,今日は天気が変わりやすい,0,1.0,0.315874,0.16392125,0.15195276,45,36
固定射影,1,20260804,無処置,無関係,会計ソフトが請求書を処理する,0,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,1,20260804,天気幹線切断,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,1,20260804,天気幹線切断,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,1,20260804,天気幹線切断,曖昧天気,今日は天気が変わりやすい,0,1.0,0.315874,0.16392125,0.15195276,45,36
固定射影,1,20260804,天気幹線切断,無関係,会計ソフトが請求書を処理する,0,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,1,20260804,晴れ枝切断,晴れ未経験,よく晴れた穏やかな日だ,10,0.74469697,0.2286864,0.09776772,0.13091868,36,27
固定射影,1,20260804,晴れ枝切断,雨未経験,雨雲が広がって寒く感じる,10,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,1,20260804,晴れ枝切断,曖昧天気,今日は天気が変わりやすい,10,0.85277778,0.2648571,0.17515336,0.08970374,41,32
固定射影,1,20260804,晴れ枝切断,無関係,会計ソフトが請求書を処理する,10,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,1,20260804,雨枝切断,晴れ未経験,よく晴れた穏やかな日だ,17,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,1,20260804,雨枝切断,雨未経験,雨雲が広がって寒く感じる,17,0.76439394,0.08089656,0.17761461,-0.09671805,36,27
固定射影,1,20260804,雨枝切断,曖昧天気,今日は天気が変わりやすい,17,1.0,0.315874,0.16392125,0.15195276,45,36
固定射影,1,20260804,雨枝切断,無関係,会計ソフトが請求書を処理する,17,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,1,20260804,部分共有切断,晴れ未経験,よく晴れた穏やかな日だ,32,0.61590909,0.17718519,0.01658074,0.16060444,34,25
固定射影,1,20260804,部分共有切断,雨未経験,雨雲が広がって寒く感じる,32,0.7,0.02492803,0.14091434,-0.11598631,36,26
固定射影,1,20260804,部分共有切断,曖昧天気,今日は天気が変わりやすい,32,0.47305556,0.09173514,0.02056199,0.07117316,32,22
固定射影,1,20260804,部分共有切断,無関係,会計ソフトが請求書を処理する,32,1.0,0.02598517,0.00979445,0.01619072,29,19
固定射影,1,20260804,ランダム同数,晴れ未経験,よく晴れた穏やかな日だ,17,0.74469697,0.2225493,0.0572969,0.1652524,37,27
固定射影,1,20260804,ランダム同数,雨未経験,雨雲が広がって寒く感じる,17,0.78409091,0.06078921,0.18577345,-0.12498424,35,26
固定射影,1,20260804,ランダム同数,曖昧天気,今日は天気が変わりやすい,17,0.77527778,0.22833614,0.10143404,0.1269021,40,30
固定射影,1,20260804,ランダム同数,無関係,会計ソフトが請求書を処理する,17,0.90744102,0.01542273,0.00997145,0.00545129,28,18
固定射影,2,20260804,無処置,晴れ未経験,よく晴れた穏やかな日だ,0,1.0,0.36322572,0.08883915,0.27438657,42,33
固定射影,2,20260804,無処置,雨未経験,雨雲が広がって寒く感じる,0,1.0,0.07409229,0.26789436,-0.19380207,42,33
固定射影,2,20260804,無処置,曖昧天気,今日は天気が変わりやすい,0,1.0,0.315874,0.16392125,0.15195276,45,36
固定射影,2,20260804,無処置,無関係,会計ソフトが請求書を処理する,0,1.0,0.02598517,0.00979445,0.01619072,29,19
