group,trial,projection_seed,category,edge_count
固定射影,1,20260804,天気幹線,0
固定射影,1,20260804,晴れ多数共有,10
固定射影,1,20260804,雨多数共有,17
固定射影,1,20260804,晴雨部分共有,32
固定射影,1,20260804,その他,63
固定射影,2,20260804,天気幹線,0
固定射影,2,20260804,晴れ多数共有,10
固定射影,2,20260804,雨多数共有,17
固定射影,2,20260804,晴雨部分共有,32
固定射影,2,20260804,その他,63
固定射影,3,20260804,天気幹線,0
固定射影,3,20260804,晴れ多数共有,10
固定射影,3,20260804,雨多数共有,17
固定射影,3,20260804,晴雨部分共有,32
固定射影,3,20260804,その他,63
固定射影,4,20260804,天気幹線,0
固定射影,4,20260804,晴れ多数共有,10
固定射影,4,20260804,雨多数共有,17
固定射影,4,20260804,晴雨部分共有,32
固定射影,4,20260804,その他,63
固定射影,5,20260804,天気幹線,0
固定射影,5,20260804,晴れ多数共有,10
固定射影,5,20260804,雨多数共有,17
固定射影,5,20260804,晴雨部分共有,32
固定射影,5,20260804,その他,63
異なる射影,1,20261813,天気幹線,0
異なる射影,1,20261813,晴れ多数共有,7
異なる射影,1,20261813,雨多数共有,4
異なる射影,1,20261813,晴雨部分共有,34
異なる射影,1,20261813,その他,72
異なる射影,2,20262822,天気幹線,0
異なる射影,2,20262822,晴れ多数共有,6
異なる射影,2,20262822,雨多数共有,10
異なる射影,2,20262822,晴雨部分共有,53
異なる射影,2,20262822,その他,42
異なる射影,3,20263831,天気幹線,0
異なる射影,3,20263831,晴れ多数共有,11
異なる射影,3,20263831,雨多数共有,3
異なる射影,3,20263831,晴雨部分共有,46
異なる射影,3,20263831,その他,62
異なる射影,4,20264840,天気幹線,6
異なる射影,4,20264840,晴れ多数共有,5
異なる射影,4,20264840,雨多数共有,10
異なる射影,4,20264840,晴雨部分共有,40
異なる射影,4,20264840,その他,67
異なる射影,5,20265849,天気幹線,9
異なる射影,5,20265849,晴れ多数共有,10
異なる射影,5,20265849,雨多数共有,1
異なる射影,5,20265849,晴雨部分共有,51
異なる射影,5,20265849,その他,26
