group,trial,projection_seed,condition,label,text,ablated_edge_count,node_count,edge_count,node_retention,edge_retention,route_retention,train_similar_overlap,train_unrelated_overlap,similar_unrelated_overlap
固定射影,1,20260804,無処置,学習文,今日は晴れて気持ちいい,0,45,36,1.0,1.0,1.0,0.33662132,0.05158119,0.05789561
固定射影,1,20260804,無処置,類似文,今日の天気は最高だ,0,38,30,1.0,1.0,1.0,0.33662132,0.05158119,0.05789561
固定射影,1,20260804,無処置,無関係文,犬は公園を走っている,0,29,20,1.0,1.0,1.0,0.33662132,0.05158119,0.05789561
固定射影,1,20260804,学習・類似共有Edge,学習文,今日は晴れて気持ちいい,14,36,27,0.58823529,0.5,0.53088235,0.19028067,0.06125367,0.07754525
固定射影,1,20260804,学習・類似共有Edge,類似文,今日の天気は最高だ,14,26,17,0.48837209,0.30555556,0.36954134,0.19028067,0.06125367,0.07754525
固定射影,1,20260804,学習・類似共有Edge,無関係文,犬は公園を走っている,14,29,20,1.0,1.0,1.0,0.19028067,0.06125367,0.07754525
固定射影,1,20260804,全共有幹線Edge,学習文,今日は晴れて気持ちいい,3,46,36,0.89583333,0.84615385,0.86354167,0.3216199,0.0562369,0.04381342
固定射影,1,20260804,全共有幹線Edge,類似文,今日の天気は最高だ,3,38,29,0.9,0.84375,0.8634375,0.3216199,0.0562369,0.04381342
固定射影,1,20260804,全共有幹線Edge,無関係文,犬は公園を走っている,3,30,20,0.84375,0.73913043,0.77574728,0.3216199,0.0562369,0.04381342
固定射影,1,20260804,無関係文専用Edge,学習文,今日は晴れて気持ちいい,17,45,36,1.0,1.0,1.0,0.32435897,0.0525,0.05677885
固定射影,1,20260804,無関係文専用Edge,類似文,今日の天気は最高だ,17,40,32,0.95,0.9375,0.941875,0.32435897,0.0525,0.05677885
固定射影,1,20260804,無関係文専用Edge,無関係文,犬は公園を走っている,17,28,19,0.3255814,0.08333333,0.16812016,0.32435897,0.0525,0.05677885
固定射影,1,20260804,ランダム同数Edge,学習文,今日は晴れて気持ちいい,14,45,36,1.0,1.0,1.0,0.33662132,0.05158119,0.05789561
固定射影,1,20260804,ランダム同数Edge,類似文,今日の天気は最高だ,14,38,30,0.94871795,0.93548387,0.9401158,0.33662132,0.05158119,0.05789561
固定射影,1,20260804,ランダム同数Edge,無関係文,犬は公園を走っている,14,29,20,1.0,1.0,1.0,0.33662132,0.05158119,0.05789561
固定射影,2,20260804,無処置,学習文,今日は晴れて気持ちいい,0,45,36,1.0,1.0,1.0,0.32435897,0.05158119,0.05570501
固定射影,2,20260804,無処置,類似文,今日の天気は最高だ,0,40,32,1.0,1.0,1.0,0.32435897,0.05158119,0.05570501
固定射影,2,20260804,無処置,無関係文,犬は公園を走っている,0,29,20,1.0,1.0,1.0,0.32435897,0.05158119,0.05570501
固定射影,2,20260804,学習・類似共有Edge,学習文,今日は晴れて気持ちいい,14,36,27,0.58823529,0.5,0.53088235,0.2,0.06125367,0.0819375
固定射影,2,20260804,学習・類似共有Edge,類似文,今日の天気は最高だ,14,24,15,0.48837209,0.30555556,0.36954134,0.2,0.06125367,0.0819375
固定射影,2,20260804,学習・類似共有Edge,無関係文,犬は公園を走っている,14,29,20,1.0,1.0,1.0,0.2,0.06125367,0.0819375
固定射影,2,20260804,全共有幹線Edge,学習文,今日は晴れて気持ちいい,3,46,36,0.89583333,0.84615385,0.86354167,0.3216199,0.0562369,0.04381342
固定射影,2,20260804,全共有幹線Edge,類似文,今日の天気は最高だ,3,38,29,0.85714286,0.79411765,0.81617647,0.3216199,0.0562369,0.04381342
固定射影,2,20260804,全共有幹線Edge,無関係文,犬は公園を走っている,3,30,20,0.84375,0.73913043,0.77574728,0.3216199,0.0562369,0.04381342
固定射影,2,20260804,無関係文専用Edge,学習文,今日は晴れて気持ちいい,17,45,36,1.0,1.0,1.0,0.33662132,0.0525,0.05905797
固定射影,2,20260804,無関係文専用Edge,類似文,今日の天気は最高だ,17,38,30,0.95,0.9375,0.941875,0.33662132,0.0525,0.05905797
