group,condition,label,trials,ablated_edge_count_mean,ablated_edge_count_std,node_count_mean,node_count_std,edge_count_mean,edge_count_std,node_retention_mean,node_retention_std,edge_retention_mean,edge_retention_std,route_retention_mean,route_retention_std,train_similar_overlap_mean,train_similar_overlap_std,train_unrelated_overlap_mean,train_unrelated_overlap_std,similar_unrelated_overlap_mean,similar_unrelated_overlap_std
固定射影,ランダム同数Edge,学習文,5,14.0,0.0,44.6,0.4898979485566356,35.6,0.4898979485566356,0.97427896,0.04123907370928887,0.968128654,0.051001395403601095,0.970281262,0.04758455628595329,0.3363020359999999,0.004626177122634197,0.05194871399999999,0.00045012313411332193,0.058316488,0.0008417559999999991
固定射影,ランダム同数Edge,無関係文,5,14.0,0.0,29.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3363020359999999,0.004626177122634197,0.05194871399999999,0.00045012313411332193,0.058316488,0.0008417559999999991
固定射影,ランダム同数Edge,類似文,5,14.0,0.0,37.8,0.4,29.6,0.7999999999999999,0.9643589739999999,0.030645049248534496,0.948790322,0.04817831368274751,0.9542393520000001,0.041880228765521534,0.3363020359999999,0.004626177122634197,0.05194871399999999,0.00045012313411332193,0.058316488,0.0008417559999999991
固定射影,全共有幹線Edge,学習文,5,3.0,0.0,46.0,0.0,36.0,0.0,0.89583333,0.0,0.84615385,0.0,0.86354167,0.0,0.316964808,0.005701300052856021,0.0562369,0.0,0.043168952,0.0007893088777759956
固定射影,全共有幹線Edge,無関係文,5,3.0,0.0,30.0,0.0,20.0,0.0,0.84375,0.0,0.73913043,0.0,0.77574728,0.0,0.316964808,0.005701300052856021,0.0562369,0.0,0.043168952,0.0007893088777759956
固定射影,全共有幹線Edge,類似文,5,3.0,0.0,38.8,0.9797958971132712,29.8,0.9797958971132713,0.8742857159999999,0.020995624967004564,0.8139705899999999,0.024314786447044927,0.8350808820000001,0.02315308164367358,0.316964808,0.005701300052856021,0.0562369,0.0,0.043168952,0.0007893088777759956
固定射影,学習・類似共有Edge,学習文,5,14.0,0.0,36.0,0.0,27.0,0.0,0.58823529,0.0,0.5,0.0,0.53088235,0.0,0.19611226800000003,0.0047614798283449646,0.06125367,0.0,0.0801806,0.002151754264547883
固定射影,学習・類似共有Edge,無関係文,5,14.0,0.0,29.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19611226800000003,0.0047614798283449646,0.06125367,0.0,0.0801806,0.002151754264547883
固定射影,学習・類似共有Edge,類似文,5,14.0,0.0,24.8,0.9797958971132713,15.8,0.9797958971132713,0.497901302,0.011670853525403199,0.3127451,0.008805352242664691,0.377549768,0.009808281120908816,0.19611226800000003,0.0047614798283449646,0.06125367,0.0,0.0801806,0.002151754264547883
固定射影,無処置,学習文,5,0.0,0.0,45.0,0.0,36.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0,0.05745749,0.0008762400000000004
固定射影,無処置,無関係文,5,0.0,0.0,29.0,0.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0,0.05745749,0.0008762400000000004
固定射影,無処置,類似文,5,0.0,0.0,38.4,0.7999999999999999,30.4,0.7999999999999999,1.0,0.0,1.0,0.0,1.0,0.0,0.33416885,0.004904939999999991,0.05158119,0.0,0.05745749,0.0008762400000000004
固定射影,無関係文専用Edge,学習文,5,17.0,0.0,45.0,0.0,36.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.33171638000000003,0.00600730010948345,0.052500000000000005,6.938893903907228e-18,0.05814632200000001,0.0011165362125144006
固定射影,無関係文専用Edge,無関係文,5,17.0,0.0,28.0,0.0,19.0,0.0,0.3255814,0.0,0.08333333,0.0,0.16812016,0.0,0.33171638000000003,0.00600730010948345,0.052500000000000005,6.938893903907228e-18,0.05814632200000001,0.0011165362125144006
