group,label,entity_type,category,count,share
固定射影,学習文,edge,中核経路,95,0.5277777777777778
固定射影,学習文,edge,定着した成長経路,85,0.4722222222222222
固定射影,学習文,node,中核経路,140,0.6222222222222222
固定射影,学習文,node,定着した成長経路,85,0.37777777777777777
固定射影,無関係文,edge,一時経路,10,0.09090909090909091
固定射影,無関係文,edge,中核経路,100,0.9090909090909091
固定射影,無関係文,node,一時経路,5,0.03333333333333333
固定射影,無関係文,node,中核経路,145,0.9666666666666667
固定射影,類似文,edge,一時経路,14,0.08433734939759036
固定射影,類似文,edge,中核経路,105,0.6325301204819277
固定射影,類似文,edge,定着した成長経路,47,0.28313253012048195
固定射影,類似文,node,一時経路,9,0.04477611940298507
固定射影,類似文,node,中核経路,150,0.746268656716418
固定射影,類似文,node,定着した成長経路,42,0.208955223880597
異なる射影,学習文,edge,中核経路,102,0.6071428571428571
異なる射影,学習文,edge,定着した成長経路,66,0.39285714285714285
異なる射影,学習文,node,中核経路,144,0.7093596059113301
異なる射影,学習文,node,定着した成長経路,59,0.29064039408866993
異なる射影,無関係文,edge,一時経路,6,0.05
異なる射影,無関係文,edge,中核経路,98,0.8166666666666667
異なる射影,無関係文,edge,定着した成長経路,16,0.13333333333333333
異なる射影,無関係文,node,一時経路,4,0.024390243902439025
異なる射影,無関係文,node,中核経路,146,0.8902439024390244
異なる射影,無関係文,node,定着した成長経路,14,0.08536585365853659
異なる射影,類似文,edge,一時経路,8,0.055944055944055944
異なる射影,類似文,edge,中核経路,100,0.6993006993006993
異なる射影,類似文,edge,定着した成長経路,35,0.24475524475524477
異なる射影,類似文,node,一時経路,7,0.038461538461538464
異なる射影,類似文,node,中核経路,145,0.7967032967032966
異なる射影,類似文,node,再出現・可変経路,1,0.005494505494505495
異なる射影,類似文,node,定着した成長経路,29,0.15934065934065933
