group,trial,projection_seed,label,text,entity_type,entity,first_checkpoint,last_checkpoint,appearances,possible_stages_from_birth,survival_fraction,longest_consecutive_stages,survived_to_final,continuous_to_final,category
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,277,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,22,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,536,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,33,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,545,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,550,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,298,50,50,1,1,1.0,1,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,45,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,312,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,572,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,574,5,50,4,4,1.0,4,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,63,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,318,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,66,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,81,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,84,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,349,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,354,5,50,4,4,1.0,4,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,355,50,50,1,1,1.0,1,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,102,50,50,1,1,1.0,1,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,362,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,369,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,372,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,121,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,381,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,399,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,144,10,50,3,3,1.0,3,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,148,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,409,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,164,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,422,10,50,3,3,1.0,3,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,168,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,169,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,201,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,461,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,463,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,212,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,224,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,235,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,492,0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,241,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,502,20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,252,50,50,1,1,1.0,1,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,509,1,50,5,5,1.0,5,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,node,511,1,50,5,5,1.0,5,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[22, 536]",0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[369, 409]",0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[22, 66]",20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[201, 572]",0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[45, 312]",0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[33, 463]",20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[381, 502]",20,50,2,2,1.0,2,1,1,定着した成長経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[81, 399]",0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[201, 224]",0,50,6,6,1.0,6,1,1,中核経路
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,edge,"[168, 312]",0,50,6,6,1.0,6,1,1,中核経路
