group,label,entity_type,first_checkpoint,entities,survival_fraction_mean,survival_fraction_std,longest_consecutive_mean,longest_consecutive_std,final_survival_rate,continuous_to_final_rate
固定射影,学習文,edge,0,95,1.0,0.0,6.0,0.0,1.0,1.0
固定射影,学習文,edge,1,10,1.0,0.0,5.0,0.0,1.0,1.0
固定射影,学習文,edge,5,10,1.0,0.0,4.0,0.0,1.0,1.0
固定射影,学習文,edge,10,10,1.0,0.0,3.0,0.0,1.0,1.0
固定射影,学習文,edge,20,35,1.0,0.0,2.0,0.0,1.0,1.0
固定射影,学習文,edge,50,20,1.0,0.0,1.0,0.0,1.0,1.0
固定射影,学習文,node,0,140,1.0,0.0,6.0,0.0,1.0,1.0
固定射影,学習文,node,1,10,1.0,0.0,5.0,0.0,1.0,1.0
固定射影,学習文,node,5,10,1.0,0.0,4.0,0.0,1.0,1.0
固定射影,学習文,node,10,10,1.0,0.0,3.0,0.0,1.0,1.0
固定射影,学習文,node,20,35,1.0,0.0,2.0,0.0,1.0,1.0
固定射影,学習文,node,50,20,1.0,0.0,1.0,0.0,1.0,1.0
固定射影,無関係文,edge,0,110,0.9848484845454545,0.047913298839605024,5.909090909090909,0.28747978728803447,0.9090909090909091,0.9090909090909091
固定射影,無関係文,node,0,150,0.9944444443333335,0.02991758286021,5.966666666666667,0.17950549357115014,0.9666666666666667,0.9666666666666667
固定射影,類似文,edge,0,115,0.9565217391304348,0.17178651525104116,5.739130434782608,1.0307190948808436,0.9130434782608695,0.9130434782608695
固定射影,類似文,edge,5,7,0.8571428571428571,0.22587697572631282,3.4285714285714284,0.9035079029052513,0.7142857142857143,0.7142857142857143
固定射影,類似文,edge,10,14,0.9047619042857143,0.23328473857434542,2.7142857142857144,0.6998542122237652,0.8571428571428571,0.8571428571428571
固定射影,類似文,edge,20,18,1.0,0.0,2.0,0.0,1.0,1.0
固定射影,類似文,edge,50,12,1.0,0.0,1.0,0.0,1.0,1.0
固定射影,類似文,node,0,155,0.9731182796774192,0.1472372460522247,5.838709677419355,0.8834234798470422,0.967741935483871,0.967741935483871
固定射影,類似文,node,5,7,0.8571428571428571,0.22587697572631282,3.4285714285714284,0.9035079029052513,0.7142857142857143,0.7142857142857143
