condition,label,trials,retention_mean,retention_std,sunny_affinity_mean,sunny_affinity_std,rainy_affinity_mean,rainy_affinity_std,sunny_margin_mean,sunny_margin_std,rainy_margin_mean,rainy_margin_std,cut_edges_mean,cut_edges_std
天気共通クラスタ,晴れ未経験,5,0.6487518600000001,0.21242526512893856,0.14981182599999998,0.05061202758860728,0.058373994,0.04076369852386979,0.09143783400000001,0.05954933073257048,0.100561184,0.07695733107891245,17.8,5.912698199637792
天気共通クラスタ,曖昧天気,5,0.6594215999999999,0.19854387732255258,0.114289014,0.06785981864284567,0.10083407200000001,0.06650219379152372,0.09143783400000001,0.05954933073257048,0.100561184,0.07695733107891245,17.8,5.912698199637792
天気共通クラスタ,遠い対照,5,0.992878788,0.014242423999999998,0.050911418,0.02842630334359176,0.029284826000000003,0.029759709410968786,0.09143783400000001,0.05954933073257048,0.100561184,0.07695733107891245,17.8,5.912698199637792
天気共通クラスタ,雨未経験,5,0.8101513840000001,0.16985754668021513,0.087176228,0.02259161285626628,0.18773741400000002,0.06994030143283674,0.09143783400000001,0.05954933073257048,0.100561184,0.07695733107891245,17.8,5.912698199637792
晴れ中心クラスタ,晴れ未経験,8,0.53592882875,0.17045396291950513,0.10935200749999999,0.08686644500831849,0.058357059999999995,0.04734644919892805,0.05099494625,0.057101006830338356,0.16090197374999998,0.047885816524638046,24.25,8.554969316134336
晴れ中心クラスタ,曖昧天気,8,0.6390919975,0.244654952428299,0.1488328825,0.09815047730298727,0.13374301875,0.09246487285494563,0.05099494625,0.057101006830338356,0.16090197374999998,0.047885816524638046,24.25,8.554969316134336
晴れ中心クラスタ,遠い対照,8,0.9369361,0.07994207524031274,0.032340253750000006,0.02641047009074429,0.0246058725,0.020164337377978573,0.05099494625,0.057101006830338356,0.16090197374999998,0.047885816524638046,24.25,8.554969316134336
晴れ中心クラスタ,雨未経験,8,0.98605145125,0.02842708909790863,0.1116773975,0.0620930682854054,0.27257937,0.01829555695112956,0.05099494625,0.057101006830338356,0.16090197374999998,0.047885816524638046,24.25,8.554969316134336
曖昧・橋渡しクラスタ,晴れ未経験,3,0.7499815066666667,0.15020853593053102,0.2840807033333333,0.10568640392303963,0.09150295000000001,0.0024300379365488605,0.19257775666666666,0.10540899822199948,0.16797219333333333,0.0684850943612532,26.0,8.04155872120988
曖昧・橋渡しクラスタ,曖昧天気,3,0.5290151533333334,0.16837112086631648,0.2201868366666667,0.11168783718025949,0.11468600000000001,0.05735044931826137,0.19257775666666666,0.10540899822199948,0.16797219333333333,0.0684850943612532,26.0,8.04155872120988
