group,trial,condition,label,cut_edges,retention,sunny_affinity,rainy_affinity,sunny_margin,rainy_margin
固定射影,1,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,1,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,1,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,1,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,1,雨中心クラスタ,晴れ未経験,32,1.0,0.36322572,0.08883915,0.27438657,-0.00152586
固定射影,1,雨中心クラスタ,雨未経験,32,0.35227273,0.02853975,0.02701389,0.27438657,-0.00152586
固定射影,1,雨中心クラスタ,曖昧天気,32,1.0,0.315874,0.16392125,0.27438657,-0.00152586
固定射影,1,雨中心クラスタ,遠い対照,32,1.0,0.02598517,0.00979445,0.27438657,-0.00152586
固定射影,1,混合・補助クラスタ,晴れ未経験,68,0.9719697,0.36088894,0.09021116,0.27067778,0.19380207
固定射影,1,混合・補助クラスタ,雨未経験,68,1.0,0.07409229,0.26789436,0.27067778,0.19380207
固定射影,1,混合・補助クラスタ,曖昧天気,68,0.94833333,0.29758812,0.16934914,0.27067778,0.19380207
固定射影,1,混合・補助クラスタ,遠い対照,68,0.14482759,0.0927578,0.08749769,0.27067778,0.19380207
固定射影,1,晴れ中心クラスタ,晴れ未経験,29,0.36060606,0.0526293,0.01820886,0.03442044,0.19380207
固定射影,1,晴れ中心クラスタ,雨未経験,29,1.0,0.07409229,0.26789436,0.03442044,0.19380207
固定射影,1,晴れ中心クラスタ,曖昧天気,29,0.3775,0.05939692,0.02121209,0.03442044,0.19380207
固定射影,1,晴れ中心クラスタ,遠い対照,29,1.0,0.02598517,0.00979445,0.03442044,0.19380207
固定射影,1,曖昧・橋渡しクラスタ,晴れ未経験,23,0.7280303,0.35431017,0.09471521,0.25959496,0.23589614
固定射影,1,曖昧・橋渡しクラスタ,雨未経験,23,0.75606061,0.0595862,0.29548233,0.25959496,0.23589614
固定射影,1,曖昧・橋渡しクラスタ,曖昧天気,23,0.72361111,0.32077897,0.17598839,0.25959496,0.23589614
固定射影,1,曖昧・橋渡しクラスタ,遠い対照,23,1.0,0.02598517,0.00979445,0.25959496,0.23589614
固定射影,2,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,2,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,2,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,2,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,2,混合・補助クラスタ,晴れ未経験,67,0.75606061,0.35177793,0.09621768,0.25556025,0.23589614
固定射影,2,混合・補助クラスタ,雨未経験,67,0.75606061,0.0595862,0.29548233,0.25556025,0.23589614
固定射影,2,混合・補助クラスタ,曖昧天気,67,1.0,0.315874,0.16392125,0.25556025,0.23589614
固定射影,2,混合・補助クラスタ,遠い対照,67,0.14482759,0.0927578,0.08749769,0.25556025,0.23589614
固定射影,2,晴れ中心クラスタ,晴れ未経験,24,0.36060606,0.0526293,0.01820886,0.03442044,0.19380207
固定射影,2,晴れ中心クラスタ,雨未経験,24,1.0,0.07409229,0.26789436,0.03442044,0.19380207
固定射影,2,晴れ中心クラスタ,曖昧天気,24,0.3775,0.05939692,0.02121209,0.03442044,0.19380207
固定射影,2,晴れ中心クラスタ,遠い対照,24,1.0,0.02598517,0.00979445,0.03442044,0.19380207
固定射影,2,曖昧・橋渡しクラスタ,晴れ未経験,18,0.94393939,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,2,曖昧・橋渡しクラスタ,雨未経験,18,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,2,曖昧・橋渡しクラスタ,曖昧天気,18,0.55055556,0.2753525,0.13002528,0.27438657,0.19380207
固定射影,2,曖昧・橋渡しクラスタ,遠い対照,18,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,2,雨中心クラスタ,晴れ未経験,43,1.0,0.36322572,0.08883915,0.27438657,-0.00152586
固定射影,2,雨中心クラスタ,雨未経験,43,0.35227273,0.02853975,0.02701389,0.27438657,-0.00152586
固定射影,2,雨中心クラスタ,曖昧天気,43,1.0,0.315874,0.16392125,0.27438657,-0.00152586
固定射影,2,雨中心クラスタ,遠い対照,43,0.95372051,0.0263998,0.00351056,0.27438657,-0.00152586
固定射影,3,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,3,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,3,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,3,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,3,混合・補助クラスタ,晴れ未経験,51,0.7,0.35177793,0.09621768,0.25556025,0.23589614
固定射影,3,混合・補助クラスタ,雨未経験,51,0.75606061,0.0595862,0.29548233,0.25556025,0.23589614
固定射影,3,混合・補助クラスタ,曖昧天気,51,0.72361111,0.32077897,0.17598839,0.25556025,0.23589614
固定射影,3,混合・補助クラスタ,遠い対照,51,0.14482759,0.09682985,0.08597638,0.25556025,0.23589614
固定射影,3,雨中心クラスタ,晴れ未経験,50,1.0,0.36322572,0.08883915,0.27438657,-0.00152586
固定射影,3,雨中心クラスタ,雨未経験,50,0.35227273,0.02853975,0.02701389,0.27438657,-0.00152586
固定射影,3,雨中心クラスタ,曖昧天気,50,1.0,0.315874,0.16392125,0.27438657,-0.00152586
固定射影,3,雨中心クラスタ,遠い対照,50,0.95372051,0.0263998,0.00351056,0.27438657,-0.00152586
固定射影,3,天気共通クラスタ,晴れ未経験,23,0.51212121,0.14363264,0.01708952,0.12654313,0.19380207
固定射影,3,天気共通クラスタ,雨未経験,23,1.0,0.07409229,0.26789436,0.12654313,0.19380207
固定射影,3,天気共通クラスタ,曖昧天気,23,0.3775,0.05939692,0.02121209,0.12654313,0.19380207
固定射影,3,天気共通クラスタ,遠い対照,23,1.0,0.02598517,0.00979445,0.12654313,0.19380207
固定射影,3,晴れ中心クラスタ,晴れ未経験,28,0.84848485,0.26266258,0.09459659,0.16806599,0.19380207
固定射影,3,晴れ中心クラスタ,雨未経験,28,1.0,0.07409229,0.26789436,0.16806599,0.19380207
固定射影,3,晴れ中心クラスタ,曖昧天気,28,0.94833333,0.29758812,0.16934914,0.16806599,0.19380207
固定射影,3,晴れ中心クラスタ,遠い対照,28,1.0,0.02598517,0.00979445,0.16806599,0.19380207
固定射影,4,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,4,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,4,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,4,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
固定射影,4,天気共通クラスタ,晴れ未経験,21,0.61590909,0.17718519,0.01658074,0.16060444,0.19380207
固定射影,4,天気共通クラスタ,雨未経験,21,1.0,0.07409229,0.26789436,0.16060444,0.19380207
固定射影,4,天気共通クラスタ,曖昧天気,21,0.47305556,0.09173514,0.02056199,0.16060444,0.19380207
固定射影,4,天気共通クラスタ,遠い対照,21,1.0,0.02598517,0.00979445,0.16060444,0.19380207
固定射影,4,雨中心クラスタ,晴れ未経験,35,0.86818182,0.35697783,0.09325941,0.26371841,0.03174437
固定射影,4,雨中心クラスタ,雨未経験,35,0.125,0.01000653,0.0417509,0.26371841,0.03174437
固定射影,4,雨中心クラスタ,曖昧天気,35,1.0,0.315874,0.16392125,0.26371841,0.03174437
固定射影,4,雨中心クラスタ,遠い対照,35,1.0,0.02598517,0.00979445,0.26371841,0.03174437
固定射影,4,混合・補助クラスタ,晴れ未経験,86,0.88787879,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,4,混合・補助クラスタ,雨未経験,86,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,4,混合・補助クラスタ,曖昧天気,86,0.67194444,0.30188328,0.18226151,0.27438657,0.19380207
固定射影,4,混合・補助クラスタ,遠い対照,86,0.14482759,0.0927578,0.08749769,0.27438657,0.19380207
固定射影,4,晴れ中心クラスタ,晴れ未経験,10,0.68863636,0.22121636,0.10116141,0.12005495,0.19380207
固定射影,4,晴れ中心クラスタ,雨未経験,10,1.0,0.07409229,0.26789436,0.12005495,0.19380207
固定射影,4,晴れ中心クラスタ,曖昧天気,10,0.90444444,0.28350241,0.16934914,0.12005495,0.19380207
固定射影,4,晴れ中心クラスタ,遠い対照,10,0.95372051,0.0209366,0.00997145,0.12005495,0.19380207
固定射影,5,無処置,晴れ未経験,0,1.0,0.36322572,0.08883915,0.27438657,0.19380207
固定射影,5,無処置,雨未経験,0,1.0,0.07409229,0.26789436,0.27438657,0.19380207
固定射影,5,無処置,曖昧天気,0,1.0,0.315874,0.16392125,0.27438657,0.19380207
固定射影,5,無処置,遠い対照,0,1.0,0.02598517,0.00979445,0.27438657,0.19380207
