group,trial,cluster_id,semantic_name,edge_a,edge_b,usage_pattern
固定射影,1,0,雨中心クラスタ,24,205,0001100000
固定射影,1,0,雨中心クラスタ,31,291,0001010100
固定射影,1,0,雨中心クラスタ,46,365,0101110100
固定射影,1,0,雨中心クラスタ,61,540,0001100100
固定射影,1,0,雨中心クラスタ,83,177,0001010000
固定射影,1,0,雨中心クラスタ,83,269,0001010000
固定射影,1,0,雨中心クラスタ,131,305,0101110100
固定射影,1,0,雨中心クラスタ,131,343,0101110100
固定射影,1,0,雨中心クラスタ,139,174,0001000100
固定射影,1,0,雨中心クラスタ,139,257,0001000100
固定射影,1,0,雨中心クラスタ,140,473,0001010100
固定射影,1,0,雨中心クラスタ,140,506,0001010100
固定射影,1,0,雨中心クラスタ,163,254,0100110100
固定射影,1,0,雨中心クラスタ,172,304,0010100100
固定射影,1,0,雨中心クラスタ,172,382,0010100100
固定射影,1,0,雨中心クラスタ,177,269,0001010000
固定射影,1,0,雨中心クラスタ,205,373,0001100000
固定射影,1,0,雨中心クラスタ,254,343,0101110100
固定射影,1,0,雨中心クラスタ,257,541,0001100100
固定射影,1,0,雨中心クラスタ,291,473,0001010100
固定射影,1,0,雨中心クラスタ,292,506,0001010100
固定射影,1,0,雨中心クラスタ,292,515,0001010100
固定射影,1,0,雨中心クラスタ,301,382,0010100100
固定射影,1,0,雨中心クラスタ,301,396,0010100100
固定射影,1,0,雨中心クラスタ,304,382,0010100100
固定射影,1,0,雨中心クラスタ,305,365,0101110100
固定射影,1,0,雨中心クラスタ,405,587,0000110000
固定射影,1,0,雨中心クラスタ,407,486,0000010100
固定射影,1,0,雨中心クラスタ,444,486,0000010100
固定射影,1,0,雨中心クラスタ,467,477,0000110000
固定射影,1,0,雨中心クラスタ,477,587,0000110000
固定射影,1,0,雨中心クラスタ,540,541,0001100100
固定射影,1,1,混合・補助クラスタ,24,243,0000100000
固定射影,1,1,混合・補助クラスタ,33,463,1000000000
固定射影,1,1,混合・補助クラスタ,42,529,0000010000
固定射影,1,1,混合・補助クラスタ,43,357,0000100000
固定射影,1,1,混合・補助クラスタ,61,313,0000100000
固定射影,1,1,混合・補助クラスタ,70,203,0010000000
固定射影,1,1,混合・補助クラスタ,76,78,0000010000
固定射影,1,1,混合・補助クラスタ,76,551,0000010000
固定射影,1,1,混合・補助クラスタ,78,551,0000010000
固定射影,1,1,混合・補助クラスタ,80,145,0010000000
固定射影,1,1,混合・補助クラスタ,101,551,0000010000
固定射影,1,1,混合・補助クラスタ,121,381,1000001001
固定射影,1,1,混合・補助クラスタ,136,489,0000100000
固定射影,1,1,混合・補助クラスタ,145,348,0010000000
固定射影,1,1,混合・補助クラスタ,160,225,0000000001
固定射影,1,1,混合・補助クラスタ,160,490,0000000001
固定射影,1,1,混合・補助クラスタ,190,287,0000000001
固定射影,1,1,混合・補助クラスタ,193,323,0000000001
固定射影,1,1,混合・補助クラスタ,203,213,0010000000
固定射影,1,1,混合・補助クラスタ,208,583,0010000000
固定射影,1,1,混合・補助クラスタ,213,552,0010000001
固定射影,1,1,混合・補助クラスタ,218,364,0010000000
固定射影,1,1,混合・補助クラスタ,219,568,0000000001
固定射影,1,1,混合・補助クラスタ,237,534,0000000001
固定射影,1,1,混合・補助クラスタ,273,500,0000000001
固定射影,1,1,混合・補助クラスタ,287,491,0000000001
固定射影,1,1,混合・補助クラスタ,308,485,0000100000
固定射影,1,1,混合・補助クラスタ,308,490,0000100001
固定射影,1,1,混合・補助クラスタ,313,469,0000100000
固定射影,1,1,混合・補助クラスタ,316,323,0000000001
固定射影,1,1,混合・補助クラスタ,381,502,1000000001
固定射影,1,1,混合・補助クラスタ,393,439,0000000001
固定射影,1,1,混合・補助クラスタ,395,400,0000100000
固定射影,1,1,混合・補助クラスタ,395,479,0000100000
固定射影,1,1,混合・補助クラスタ,400,479,0000100000
固定射影,1,1,混合・補助クラスタ,405,489,0000100000
固定射影,1,1,混合・補助クラスタ,407,444,0000010000
固定射影,1,1,混合・補助クラスタ,409,422,1000000000
固定射影,1,1,混合・補助クラスタ,418,500,0000000001
固定射影,1,1,混合・補助クラスタ,419,568,0000000001
固定射影,1,1,混合・補助クラスタ,439,552,0010000001
固定射影,1,1,混合・補助クラスタ,492,529,0000010000
固定射影,1,1,混合・補助クラスタ,502,525,0000000001
固定射影,1,1,混合・補助クラスタ,534,559,0000000001
固定射影,1,1,混合・補助クラスタ,543,583,0010000000
固定射影,1,1,混合・補助クラスタ,550,574,1000000000
固定射影,1,2,晴れ中心クラスタ,22,66,1001010010
固定射影,1,2,晴れ中心クラスタ,22,536,1111010010
固定射影,1,2,晴れ中心クラスタ,66,216,1001010010
固定射影,1,2,晴れ中心クラスタ,81,399,1110001000
固定射影,1,2,晴れ中心クラスタ,81,511,1110001000
固定射影,1,2,晴れ中心クラスタ,84,277,1011011010
固定射影,1,2,晴れ中心クラスタ,84,492,1011011010
固定射影,1,2,晴れ中心クラスタ,144,148,1001010010
固定射影,1,2,晴れ中心クラスタ,144,355,1001010010
固定射影,1,2,晴れ中心クラスタ,148,536,1111010010
固定射影,1,2,晴れ中心クラスタ,164,354,1110001000
固定射影,1,2,晴れ中心クラスタ,164,399,1110001000
固定射影,1,2,晴れ中心クラスタ,169,545,1110001010
固定射影,1,2,晴れ中心クラスタ,201,224,1011001010
固定射影,1,2,晴れ中心クラスタ,201,235,1011001010
固定射影,1,2,晴れ中心クラスタ,201,572,1011001010
固定射影,1,2,晴れ中心クラスタ,212,224,1011001010
固定射影,1,2,晴れ中心クラスタ,212,509,1011001010
固定射影,1,2,晴れ中心クラスタ,216,514,1001000010
固定射影,1,2,晴れ中心クラスタ,235,362,1011001010
固定射影,1,2,晴れ中心クラスタ,241,483,1011001010
固定射影,1,2,晴れ中心クラスタ,241,572,1011001010
固定射影,1,2,晴れ中心クラスタ,271,362,1111001010
固定射影,1,2,晴れ中心クラスタ,277,492,1011011010
固定射影,1,2,晴れ中心クラスタ,298,354,1110001000
固定射影,1,2,晴れ中心クラスタ,302,461,1011001010
固定射影,1,2,晴れ中心クラスタ,318,511,1110001000
固定射影,1,2,晴れ中心クラスタ,349,545,1110001010
固定射影,1,2,晴れ中心クラスタ,461,509,1011001010
固定射影,1,3,混合・補助クラスタ,1,443,0100000000
固定射影,1,3,混合・補助クラスタ,1,512,0100000000
固定射影,1,3,混合・補助クラスタ,2,556,0100000000
固定射影,1,3,混合・補助クラスタ,26,561,0100000000
固定射影,1,3,混合・補助クラスタ,69,560,0100000000
固定射影,1,3,混合・補助クラスタ,79,575,0100000000
