group,trial,projection_seed,checkpoint,entity_type,role,count,share,total_unique
固定射影,1,20260804,0,Node,全共有幹線,3,0.04166667,72
固定射影,1,20260804,0,Node,学習・類似共有,11,0.15277778,72
固定射影,1,20260804,0,Node,学習文専用,14,0.19444444,72
固定射影,1,20260804,0,Node,類似文専用,17,0.23611111,72
固定射影,1,20260804,0,Node,無関係文専用,27,0.375,72
固定射影,1,20260804,0,Node,学習・無関係共有,0,0.0,72
固定射影,1,20260804,0,Node,類似・無関係共有,0,0.0,72
固定射影,1,20260804,0,Edge,全共有幹線,3,0.06,50
固定射影,1,20260804,0,Edge,学習・類似共有,8,0.16,50
固定射影,1,20260804,0,Edge,学習文専用,8,0.16,50
固定射影,1,20260804,0,Edge,類似文専用,12,0.24,50
固定射影,1,20260804,0,Edge,無関係文専用,19,0.38,50
固定射影,1,20260804,0,Edge,学習・無関係共有,0,0.0,50
固定射影,1,20260804,0,Edge,類似・無関係共有,0,0.0,50
固定射影,1,20260804,1,Node,全共有幹線,3,0.04166667,72
固定射影,1,20260804,1,Node,学習・類似共有,12,0.16666667,72
固定射影,1,20260804,1,Node,学習文専用,15,0.20833333,72
固定射影,1,20260804,1,Node,類似文専用,15,0.20833333,72
固定射影,1,20260804,1,Node,無関係文専用,27,0.375,72
固定射影,1,20260804,1,Node,学習・無関係共有,0,0.0,72
固定射影,1,20260804,1,Node,類似・無関係共有,0,0.0,72
固定射影,1,20260804,1,Edge,全共有幹線,3,0.06,50
固定射影,1,20260804,1,Edge,学習・類似共有,9,0.18,50
固定射影,1,20260804,1,Edge,学習文専用,9,0.18,50
固定射影,1,20260804,1,Edge,類似文専用,10,0.2,50
固定射影,1,20260804,1,Edge,無関係文専用,19,0.38,50
固定射影,1,20260804,1,Edge,学習・無関係共有,0,0.0,50
固定射影,1,20260804,1,Edge,類似・無関係共有,0,0.0,50
固定射影,1,20260804,5,Node,全共有幹線,3,0.04,75
固定射影,1,20260804,5,Node,学習・類似共有,12,0.16,75
固定射影,1,20260804,5,Node,学習文専用,17,0.22666667,75
固定射影,1,20260804,5,Node,類似文専用,16,0.21333333,75
固定射影,1,20260804,5,Node,無関係文専用,27,0.36,75
固定射影,1,20260804,5,Node,学習・無関係共有,0,0.0,75
固定射影,1,20260804,5,Node,類似・無関係共有,0,0.0,75
固定射影,1,20260804,5,Edge,全共有幹線,3,0.05660377,53
固定射影,1,20260804,5,Edge,学習・類似共有,9,0.16981132,53
固定射影,1,20260804,5,Edge,学習文専用,11,0.20754717,53
固定射影,1,20260804,5,Edge,類似文専用,11,0.20754717,53
固定射影,1,20260804,5,Edge,無関係文専用,19,0.35849057,53
固定射影,1,20260804,5,Edge,学習・無関係共有,0,0.0,53
固定射影,1,20260804,5,Edge,類似・無関係共有,0,0.0,53
固定射影,1,20260804,10,Node,全共有幹線,3,0.03797468,79
固定射影,1,20260804,10,Node,学習・類似共有,12,0.15189873,79
固定射影,1,20260804,10,Node,学習文専用,19,0.24050633,79
固定射影,1,20260804,10,Node,類似文専用,18,0.2278481,79
固定射影,1,20260804,10,Node,無関係文専用,27,0.34177215,79
固定射影,1,20260804,10,Node,学習・無関係共有,0,0.0,79
固定射影,1,20260804,10,Node,類似・無関係共有,0,0.0,79
固定射影,1,20260804,10,Edge,全共有幹線,3,0.05263158,57
固定射影,1,20260804,10,Edge,学習・類似共有,9,0.15789474,57
固定射影,1,20260804,10,Edge,学習文専用,13,0.22807018,57
固定射影,1,20260804,10,Edge,類似文専用,13,0.22807018,57
固定射影,1,20260804,10,Edge,無関係文専用,19,0.33333333,57
固定射影,1,20260804,10,Edge,学習・無関係共有,0,0.0,57
固定射影,1,20260804,10,Edge,類似・無関係共有,0,0.0,57
固定射影,1,20260804,20,Node,全共有幹線,3,0.03488372,86
固定射影,1,20260804,20,Node,学習・類似共有,15,0.1744186,86
固定射影,1,20260804,20,Node,学習文専用,23,0.26744186,86
固定射影,1,20260804,20,Node,類似文専用,18,0.20930233,86
固定射影,1,20260804,20,Node,無関係文専用,27,0.31395349,86
固定射影,1,20260804,20,Node,学習・無関係共有,0,0.0,86
固定射影,1,20260804,20,Node,類似・無関係共有,0,0.0,86
固定射影,1,20260804,20,Edge,全共有幹線,3,0.04615385,65
固定射影,1,20260804,20,Edge,学習・類似共有,12,0.18461538,65
固定射影,1,20260804,20,Edge,学習文専用,17,0.26153846,65
固定射影,1,20260804,20,Edge,類似文専用,14,0.21538462,65
固定射影,1,20260804,20,Edge,無関係文専用,19,0.29230769,65
固定射影,1,20260804,20,Edge,学習・無関係共有,0,0.0,65
固定射影,1,20260804,20,Edge,類似・無関係共有,0,0.0,65
固定射影,1,20260804,50,Node,全共有幹線,3,0.03370787,89
固定射影,1,20260804,50,Node,学習・類似共有,17,0.19101124,89
固定射影,1,20260804,50,Node,学習文専用,25,0.28089888,89
固定射影,1,20260804,50,Node,類似文専用,18,0.20224719,89
固定射影,1,20260804,50,Node,無関係文専用,26,0.29213483,89
