group,checkpoint,entity_type,role,trials,count_mean,count_std,share_mean,share_std
固定射影,0,Edge,全共有幹線,5,3.0,0.0,0.059076923999999996,0.001130532596904663
固定射影,0,Edge,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,0,Edge,学習・類似共有,5,7.2,0.9797958971132712,0.142153848,0.021856983136074752
固定射影,0,Edge,学習文専用,5,8.8,0.9797958971132713,0.172923076,0.015827471053603732
固定射影,0,Edge,無関係文専用,5,19.0,0.0,0.374153848,0.007160044679375687
固定射影,0,Edge,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,0,Edge,類似文専用,5,12.8,0.9797958971132713,0.25169230800000003,0.014320094257730856
固定射影,0,Node,全共有幹線,5,3.0,0.0,0.041216218000000006,0.0005516887768080856
固定射影,0,Node,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,0,Node,学習・類似共有,5,10.2,0.9797958971132713,0.140315316,0.015263338868902309
固定射影,0,Node,学習文専用,5,14.8,0.9797958971132713,0.20315315199999998,0.010665950358426384
固定射影,0,Node,無関係文専用,5,27.0,0.0,0.37094594399999997,0.004965184294334293
固定射影,0,Node,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,0,Node,類似文専用,5,17.8,0.9797958971132713,0.24436936999999997,0.010114261581618284
固定射影,1,Edge,全共有幹線,5,3.0,0.0,0.05953846199999999,0.0009230760000000004
固定射影,1,Edge,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,1,Edge,学習・類似共有,5,8.6,0.7999999999999999,0.170923076,0.018153847999999997
固定射影,1,Edge,学習文専用,5,9.4,0.7999999999999999,0.18630769200000002,0.012615384000000007
固定射影,1,Edge,無関係文専用,5,19.0,0.0,0.377076924,0.005846152000000005
固定射影,1,Edge,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,1,Edge,類似文専用,5,10.4,0.7999999999999999,0.206153846,0.012307691999999992
固定射影,1,Node,全共有幹線,5,3.0,0.0,0.04144144400000001,0.0004504520000000012
固定射影,1,Node,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,1,Node,学習・類似共有,5,11.6,0.7999999999999999,0.160360364,0.012612612
固定射影,1,Node,学習文専用,5,15.4,0.7999999999999999,0.21261261,0.008558559999999993
固定射影,1,Node,無関係文専用,5,27.0,0.0,0.372972972,0.004054055999999994
固定射影,1,Node,類似・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,1,Node,類似文専用,5,15.4,0.7999999999999999,0.21261261,0.008558559999999993
固定射影,5,Edge,全共有幹線,5,3.0,0.0,0.05599730199999999,0.001212935999999998
固定射影,5,Edge,学習・無関係共有,5,0.0,0.0,0.0,0.0
固定射影,5,Edge,学習・類似共有,5,9.0,0.0,0.167991914,0.0036388119999999913
