group,trial,projection_seed,label,text,from_checkpoint,to_checkpoint,route_stability,node_jaccard,edge_jaccard,node_retention,edge_retention,added_nodes,removed_nodes,added_edges,removed_edges,added_node_persistence,added_edge_persistence,current_nodes,current_edges
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,0,1,0.9147619,0.93333333,0.9047619,1.0,1.0,2,0,2,0,1.0,1.0,30,21
固定射影,1,20260804,類似文,今日の天気は最高だ,0,1,0.96044881,0.96774194,0.95652174,0.96774194,0.95652174,0,1,0,1,0.0,0.0,30,22
固定射影,1,20260804,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,1,5,0.92160326,0.9375,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,32,23
固定射影,1,20260804,類似文,今日の天気は最高だ,1,5,0.96044881,0.96774194,0.95652174,1.0,1.0,1,0,1,0,1.0,1.0,31,23
固定射影,1,20260804,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,5,10,0.92741176,0.94117647,0.92,1.0,1.0,2,0,2,0,1.0,1.0,34,25
固定射影,1,20260804,類似文,今日の天気は最高だ,5,10,0.92678788,0.93939394,0.92,1.0,1.0,2,0,2,0,1.0,1.0,33,25
固定射影,1,20260804,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,10,20,0.7980564,0.82926829,0.78125,1.0,1.0,7,0,7,0,1.0,1.0,41,32
固定射影,1,20260804,類似文,今日の天気は最高だ,10,20,0.88117816,0.91666667,0.86206897,1.0,1.0,3,0,4,0,1.0,1.0,36,29
固定射影,1,20260804,無関係文,犬は公園を走っている,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,1,20260804,学習文,今日は晴れて気持ちいい,20,50,0.89666667,0.91111111,0.88888889,1.0,1.0,4,0,4,0,0.0,0.0,45,36
固定射影,1,20260804,類似文,今日の天気は最高だ,20,50,0.91867572,0.94736842,0.90322581,1.0,0.96551724,2,0,2,1,0.0,0.0,38,30
固定射影,1,20260804,無関係文,犬は公園を走っている,20,50,0.92924242,0.96666667,0.90909091,0.96666667,0.90909091,0,1,0,2,0.0,0.0,29,20
固定射影,2,20260804,学習文,今日は晴れて気持ちいい,0,1,0.9147619,0.93333333,0.9047619,1.0,1.0,2,0,2,0,1.0,1.0,30,21
固定射影,2,20260804,類似文,今日の天気は最高だ,0,1,0.96044881,0.96774194,0.95652174,0.96774194,0.95652174,0,1,0,1,0.0,0.0,30,22
固定射影,2,20260804,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,2,20260804,学習文,今日は晴れて気持ちいい,1,5,0.92160326,0.9375,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,32,23
固定射影,2,20260804,類似文,今日の天気は最高だ,1,5,0.96044881,0.96774194,0.95652174,1.0,1.0,1,0,1,0,1.0,1.0,31,23
固定射影,2,20260804,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,2,20260804,学習文,今日は晴れて気持ちいい,5,10,0.92741176,0.94117647,0.92,1.0,1.0,2,0,2,0,1.0,1.0,34,25
固定射影,2,20260804,類似文,今日の天気は最高だ,5,10,0.92678788,0.93939394,0.92,1.0,1.0,2,0,2,0,1.0,1.0,33,25
固定射影,2,20260804,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,2,20260804,学習文,今日は晴れて気持ちいい,10,20,0.7980564,0.82926829,0.78125,1.0,1.0,7,0,7,0,1.0,1.0,41,32
固定射影,2,20260804,類似文,今日の天気は最高だ,10,20,0.88117816,0.91666667,0.86206897,1.0,1.0,3,0,4,0,1.0,1.0,36,29
固定射影,2,20260804,無関係文,犬は公園を走っている,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,2,20260804,学習文,今日は晴れて気持ちいい,20,50,0.89666667,0.91111111,0.88888889,1.0,1.0,4,0,4,0,0.0,0.0,45,36
固定射影,2,20260804,類似文,今日の天気は最高だ,20,50,0.91867572,0.94736842,0.90322581,1.0,0.96551724,2,0,2,1,0.0,0.0,38,30
固定射影,2,20260804,無関係文,犬は公園を走っている,20,50,0.92924242,0.96666667,0.90909091,0.96666667,0.90909091,0,1,0,2,0.0,0.0,29,20
固定射影,3,20260804,学習文,今日は晴れて気持ちいい,0,1,0.9147619,0.93333333,0.9047619,1.0,1.0,2,0,2,0,1.0,1.0,30,21
固定射影,3,20260804,類似文,今日の天気は最高だ,0,1,0.8169697,0.84848485,0.8,0.90322581,0.86956522,2,3,2,3,1.0,1.0,30,22
固定射影,3,20260804,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,3,20260804,学習文,今日は晴れて気持ちいい,1,5,0.92160326,0.9375,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,32,23
固定射影,3,20260804,類似文,今日の天気は最高だ,1,5,0.89018182,0.90909091,0.88,1.0,1.0,3,0,3,0,0.33333333,0.33333333,33,25
固定射影,3,20260804,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,3,20260804,学習文,今日は晴れて気持ちいい,5,10,0.92741176,0.94117647,0.92,1.0,1.0,2,0,2,0,1.0,1.0,34,25
固定射影,3,20260804,類似文,今日の天気は最高だ,5,10,0.8637037,0.88571429,0.85185185,0.93939394,0.92,2,2,2,2,1.0,1.0,33,25
固定射影,3,20260804,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,3,20260804,学習文,今日は晴れて気持ちいい,10,20,0.7980564,0.82926829,0.78125,1.0,1.0,7,0,7,0,1.0,1.0,41,32
固定射影,3,20260804,類似文,今日の天気は最高だ,10,20,0.88117816,0.91666667,0.86206897,1.0,1.0,3,0,4,0,1.0,1.0,36,29
固定射影,3,20260804,無関係文,犬は公園を走っている,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,3,20260804,学習文,今日は晴れて気持ちいい,20,50,0.89666667,0.91111111,0.88888889,1.0,1.0,4,0,4,0,0.0,0.0,45,36
固定射影,3,20260804,類似文,今日の天気は最高だ,20,50,0.86651515,0.9,0.84848485,1.0,0.96551724,4,0,4,1,0.0,0.0,40,32
固定射影,3,20260804,無関係文,犬は公園を走っている,20,50,0.92924242,0.96666667,0.90909091,0.96666667,0.90909091,0,1,0,2,0.0,0.0,29,20
固定射影,4,20260804,学習文,今日は晴れて気持ちいい,0,1,0.9147619,0.93333333,0.9047619,1.0,1.0,2,0,2,0,1.0,1.0,30,21
固定射影,4,20260804,類似文,今日の天気は最高だ,0,1,0.96044881,0.96774194,0.95652174,0.96774194,0.95652174,0,1,0,1,0.0,0.0,30,22
固定射影,4,20260804,無関係文,犬は公園を走っている,0,1,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,4,20260804,学習文,今日は晴れて気持ちいい,1,5,0.92160326,0.9375,0.91304348,1.0,1.0,2,0,2,0,1.0,1.0,32,23
固定射影,4,20260804,類似文,今日の天気は最高だ,1,5,0.96044881,0.96774194,0.95652174,1.0,1.0,1,0,1,0,1.0,1.0,31,23
固定射影,4,20260804,無関係文,犬は公園を走っている,1,5,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,4,20260804,学習文,今日は晴れて気持ちいい,5,10,0.92741176,0.94117647,0.92,1.0,1.0,2,0,2,0,1.0,1.0,34,25
固定射影,4,20260804,類似文,今日の天気は最高だ,5,10,0.8637037,0.88571429,0.85185185,1.0,1.0,4,0,4,0,1.0,1.0,35,27
固定射影,4,20260804,無関係文,犬は公園を走っている,5,10,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,4,20260804,学習文,今日は晴れて気持ちいい,10,20,0.7980564,0.82926829,0.78125,1.0,1.0,7,0,7,0,1.0,1.0,41,32
固定射影,4,20260804,類似文,今日の天気は最高だ,10,20,0.94545019,0.97222222,0.93103448,1.0,1.0,1,0,2,0,1.0,1.0,36,29
固定射影,4,20260804,無関係文,犬は公園を走っている,10,20,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,30,22
固定射影,4,20260804,学習文,今日は晴れて気持ちいい,20,50,0.89666667,0.91111111,0.88888889,1.0,1.0,4,0,4,0,0.0,0.0,45,36
固定射影,4,20260804,類似文,今日の天気は最高だ,20,50,0.80962121,0.85,0.78787879,0.94444444,0.89655172,4,2,4,3,0.0,0.0,38,30
固定射影,4,20260804,無関係文,犬は公園を走っている,20,50,0.92924242,0.96666667,0.90909091,0.96666667,0.90909091,0,1,0,2,0.0,0.0,29,20
