group,label,from_checkpoint,to_checkpoint,trials,route_stability_mean,route_stability_std,node_jaccard_mean,node_jaccard_std,edge_jaccard_mean,edge_jaccard_std,node_retention_mean,node_retention_std,edge_retention_mean,edge_retention_std,added_nodes_mean,added_nodes_std,removed_nodes_mean,removed_nodes_std,added_edges_mean,added_edges_std,removed_edges_mean,removed_edges_std,added_node_persistence_mean,added_node_persistence_std,added_edge_persistence_mean,added_edge_persistence_std,current_nodes_mean,current_nodes_std,current_edges_mean,current_edges_std
固定射影,学習文,0,1,5,0.9147619,0.0,0.93333333,0.0,0.9047619000000001,1.1102230246251565e-16,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,21.0,0.0
固定射影,学習文,1,5,5,0.92160326,0.0,0.9375,0.0,0.91304348,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,0.0,23.0,0.0
固定射影,学習文,5,10,5,0.92741176,0.0,0.94117647,0.0,0.9200000000000002,1.1102230246251565e-16,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,25.0,0.0
固定射影,学習文,10,20,5,0.7980564,0.0,0.8292682900000001,1.1102230246251565e-16,0.78125,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,41.0,0.0,32.0,0.0
固定射影,学習文,20,50,5,0.8966666699999999,1.1102230246251565e-16,0.91111111,0.0,0.8888888900000002,1.1102230246251565e-16,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,36.0,0.0
固定射影,無関係文,0,1,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
固定射影,無関係文,1,5,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
固定射影,無関係文,5,10,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
固定射影,無関係文,10,20,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,22.0,0.0
固定射影,無関係文,20,50,5,0.9292424199999999,1.1102230246251565e-16,0.9666666700000001,1.1102230246251565e-16,0.90909091,0.0,0.9666666700000001,1.1102230246251565e-16,0.90909091,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,20.0,0.0
