group,trial,stage,stage_index,label,sunny_affinity,rainy_affinity,sunny_margin
固定射影,1,初期,0,晴れ未経験,0.28095632,0.07478956,0.20616676
固定射影,1,初期,0,雨未経験,0.03687576,0.19887861,-0.16200285
固定射影,1,初期,0,曖昧天気,0.10572654,0.18321896,-0.07749242
固定射影,1,初期,0,遠い対照,0.00607097,0.00392185,0.00214912
固定射影,1,晴れ学習後,1,晴れ未経験,0.35045518,0.09281864,0.25763654
固定射影,1,晴れ学習後,1,雨未経験,0.07649108,0.20243464,-0.12594356
固定射影,1,晴れ学習後,1,曖昧天気,0.15731448,0.19355983,-0.03624535
固定射影,1,晴れ学習後,1,遠い対照,0.03914628,0.00392406,0.03522222
固定射影,1,雨追加後,2,晴れ未経験,0.36322572,0.08883915,0.27438657
固定射影,1,雨追加後,2,雨未経験,0.07409229,0.26789436,-0.19380207
固定射影,1,雨追加後,2,曖昧天気,0.09776985,0.27030576,-0.1725359
固定射影,1,雨追加後,2,遠い対照,0.02598517,0.00979445,0.01619072
固定射影,1,曖昧追加後,3,晴れ未経験,0.37126967,0.0833929,0.28787677
固定射影,1,曖昧追加後,3,雨未経験,0.0661352,0.25103723,-0.18490203
固定射影,1,曖昧追加後,3,曖昧天気,0.129508,0.28630044,-0.15679244
固定射影,1,曖昧追加後,3,遠い対照,0.04847524,0.00920659,0.03926865
固定射影,2,初期,0,晴れ未経験,0.28095632,0.07478956,0.20616676
固定射影,2,初期,0,雨未経験,0.03687576,0.19887861,-0.16200285
固定射影,2,初期,0,曖昧天気,0.10572654,0.18321896,-0.07749242
固定射影,2,初期,0,遠い対照,0.00607097,0.00392185,0.00214912
固定射影,2,晴れ学習後,1,晴れ未経験,0.35045518,0.09281864,0.25763654
固定射影,2,晴れ学習後,1,雨未経験,0.07649108,0.20243464,-0.12594356
固定射影,2,晴れ学習後,1,曖昧天気,0.15731448,0.19355983,-0.03624535
固定射影,2,晴れ学習後,1,遠い対照,0.03914628,0.00392406,0.03522222
固定射影,2,雨追加後,2,晴れ未経験,0.36322572,0.08883915,0.27438657
固定射影,2,雨追加後,2,雨未経験,0.07409229,0.26789436,-0.19380207
固定射影,2,雨追加後,2,曖昧天気,0.09776985,0.27030576,-0.1725359
固定射影,2,雨追加後,2,遠い対照,0.02598517,0.00979445,0.01619072
固定射影,2,曖昧追加後,3,晴れ未経験,0.37126967,0.0833929,0.28787677
固定射影,2,曖昧追加後,3,雨未経験,0.0661352,0.25103723,-0.18490203
固定射影,2,曖昧追加後,3,曖昧天気,0.129508,0.28630044,-0.15679244
固定射影,2,曖昧追加後,3,遠い対照,0.04847524,0.00920659,0.03926865
固定射影,3,初期,0,晴れ未経験,0.28095632,0.07478956,0.20616676
固定射影,3,初期,0,雨未経験,0.03687576,0.19887861,-0.16200285
固定射影,3,初期,0,曖昧天気,0.10572654,0.18321896,-0.07749242
