stage,stage_index,k,trials,silhouette_mean,silhouette_std,edge_count_mean,edge_count_std,new_edge_count_mean,new_edge_count_std
初期,0,2,8,0.28524407375000005,0.06858235044406778,144.25,5.425633603552677,144.25,5.425633603552677
初期,0,3,8,0.19571575,0.026745226225430872,144.25,5.425633603552677,144.25,5.425633603552677
初期,0,4,8,0.20173056,0.013216913241178891,144.25,5.425633603552677,144.25,5.425633603552677
初期,0,5,8,0.24207068125,0.024844346904904963,144.25,5.425633603552677,144.25,5.425633603552677
初期,0,6,8,0.26831469,0.029265506088101828,144.25,5.425633603552677,144.25,5.425633603552677
初期,0,7,8,0.3184007525,0.02045147077771165,144.25,5.425633603552677,144.25,5.425633603552677
初期,0,8,8,0.33794168874999997,0.051618399523834624,144.25,5.425633603552677,144.25,5.425633603552677
晴れ学習後,1,2,8,0.30967808875,0.02590609376144512,154.375,4.768057780690163,22.625,1.8666480653835098
晴れ学習後,1,3,8,0.25520615125,0.06579225570679148,154.375,4.768057780690163,22.625,1.8666480653835098
晴れ学習後,1,4,8,0.20682851375,0.015240043168306594,154.375,4.768057780690163,22.625,1.8666480653835098
晴れ学習後,1,5,8,0.21411310249999999,0.012000123573415556,154.375,4.768057780690163,22.625,1.8666480653835098
晴れ学習後,1,6,8,0.2439950925,0.020636900509352633,154.375,4.768057780690163,22.625,1.8666480653835098
晴れ学習後,1,7,8,0.27508455374999996,0.02513465359549388,154.375,4.768057780690163,22.625,1.8666480653835098
晴れ学習後,1,8,8,0.29702777,0.025289918498662165,154.375,4.768057780690163,22.625,1.8666480653835098
曖昧追加後,3,2,8,0.26972470625,0.023871368445530065,169.5,6.557438524302,11.875,1.6909686573085854
曖昧追加後,3,3,8,0.22572203125,0.049515072545551084,169.5,6.557438524302,11.875,1.6909686573085854
曖昧追加後,3,4,8,0.2369965725,0.035731206435556696,169.5,6.557438524302,11.875,1.6909686573085854
曖昧追加後,3,5,8,0.2119210575,0.027174352377173944,169.5,6.557438524302,11.875,1.6909686573085854
曖昧追加後,3,6,8,0.23597728375,0.023506211678457425,169.5,6.557438524302,11.875,1.6909686573085854
曖昧追加後,3,7,8,0.2501732425,0.025746130774025426,169.5,6.557438524302,11.875,1.6909686573085854
曖昧追加後,3,8,8,0.256340615,0.011588432904438584,169.5,6.557438524302,11.875,1.6909686573085854
雨追加後,2,2,8,0.27653661625000003,0.027108362500476643,162.875,4.567206476611277,15.875,2.6190408549696205
雨追加後,2,3,8,0.23861149125000003,0.05502304966905403,162.875,4.567206476611277,15.875,2.6190408549696205
雨追加後,2,4,8,0.19987365875000002,0.033592175184785,162.875,4.567206476611277,15.875,2.6190408549696205
雨追加後,2,5,8,0.21858920125,0.023973787649108257,162.875,4.567206476611277,15.875,2.6190408549696205
雨追加後,2,6,8,0.24332533875,0.028684409561617014,162.875,4.567206476611277,15.875,2.6190408549696205
雨追加後,2,7,8,0.23627964875000002,0.013165848659922604,162.875,4.567206476611277,15.875,2.6190408549696205
雨追加後,2,8,8,0.27250029750000004,0.023976138696884537,162.875,4.567206476611277,15.875,2.6190408549696205
