group,trial,stage,stage_index,k,silhouette,edge_count,new_edge_count
固定射影,1,初期,0,2,0.35201342,140,140
固定射影,1,初期,0,3,0.20824775,140,140
固定射影,1,初期,0,4,0.2129073,140,140
固定射影,1,初期,0,5,0.26629184,140,140
固定射影,1,初期,0,6,0.29424357,140,140
固定射影,1,初期,0,7,0.33583762,140,140
固定射影,1,初期,0,8,0.37687898,140,140
固定射影,1,晴れ学習後,1,2,0.31939903,151,23
固定射影,1,晴れ学習後,1,3,0.30639505,151,23
固定射影,1,晴れ学習後,1,4,0.2128421,151,23
固定射影,1,晴れ学習後,1,5,0.21910076,151,23
固定射影,1,晴れ学習後,1,6,0.25947564,151,23
固定射影,1,晴れ学習後,1,7,0.29548353,151,23
固定射影,1,晴れ学習後,1,8,0.3063161,151,23
固定射影,1,雨追加後,2,2,0.27465789,162,17
固定射影,1,雨追加後,2,3,0.28050644,162,17
固定射影,1,雨追加後,2,4,0.19513699,162,17
固定射影,1,雨追加後,2,5,0.24101107,162,17
固定射影,1,雨追加後,2,6,0.27041411,162,17
固定射影,1,雨追加後,2,7,0.24778829,162,17
固定射影,1,雨追加後,2,8,0.29373226,162,17
固定射影,1,曖昧追加後,3,2,0.26641061,167,11
固定射影,1,曖昧追加後,3,3,0.26428845,167,11
固定射影,1,曖昧追加後,3,4,0.27000563,167,11
固定射影,1,曖昧追加後,3,5,0.23375306,167,11
固定射影,1,曖昧追加後,3,6,0.25578782,167,11
固定射影,1,曖昧追加後,3,7,0.27193821,167,11
固定射影,1,曖昧追加後,3,8,0.26290081,167,11
固定射影,2,初期,0,2,0.35201342,140,140
固定射影,2,初期,0,3,0.20824775,140,140
固定射影,2,初期,0,4,0.2129073,140,140
固定射影,2,初期,0,5,0.26629184,140,140
固定射影,2,初期,0,6,0.29424357,140,140
固定射影,2,初期,0,7,0.33583762,140,140
固定射影,2,初期,0,8,0.37687898,140,140
固定射影,2,晴れ学習後,1,2,0.31939903,151,23
固定射影,2,晴れ学習後,1,3,0.30639505,151,23
固定射影,2,晴れ学習後,1,4,0.2128421,151,23
固定射影,2,晴れ学習後,1,5,0.21910076,151,23
固定射影,2,晴れ学習後,1,6,0.25947564,151,23
固定射影,2,晴れ学習後,1,7,0.29548353,151,23
固定射影,2,晴れ学習後,1,8,0.3063161,151,23
固定射影,2,雨追加後,2,2,0.27465789,162,17
固定射影,2,雨追加後,2,3,0.28050644,162,17
固定射影,2,雨追加後,2,4,0.19513699,162,17
固定射影,2,雨追加後,2,5,0.24101107,162,17
固定射影,2,雨追加後,2,6,0.27041411,162,17
固定射影,2,雨追加後,2,7,0.24778829,162,17
固定射影,2,雨追加後,2,8,0.29373226,162,17
固定射影,2,曖昧追加後,3,2,0.26641061,167,11
固定射影,2,曖昧追加後,3,3,0.26428845,167,11
固定射影,2,曖昧追加後,3,4,0.27000563,167,11
固定射影,2,曖昧追加後,3,5,0.23375306,167,11
固定射影,2,曖昧追加後,3,6,0.25578782,167,11
固定射影,2,曖昧追加後,3,7,0.27193821,167,11
固定射影,2,曖昧追加後,3,8,0.26290081,167,11
固定射影,3,初期,0,2,0.35201342,140,140
固定射影,3,初期,0,3,0.20824775,140,140
固定射影,3,初期,0,4,0.2129073,140,140
固定射影,3,初期,0,5,0.26629184,140,140
固定射影,3,初期,0,6,0.29424357,140,140
固定射影,3,初期,0,7,0.33583762,140,140
固定射影,3,初期,0,8,0.37687898,140,140
固定射影,3,晴れ学習後,1,2,0.31939903,151,23
固定射影,3,晴れ学習後,1,3,0.30639505,151,23
固定射影,3,晴れ学習後,1,4,0.2128421,151,23
固定射影,3,晴れ学習後,1,5,0.21910076,151,23
固定射影,3,晴れ学習後,1,6,0.25947564,151,23
固定射影,3,晴れ学習後,1,7,0.29548353,151,23
固定射影,3,晴れ学習後,1,8,0.3063161,151,23
固定射影,3,雨追加後,2,2,0.27465789,162,17
固定射影,3,雨追加後,2,3,0.28050644,162,17
固定射影,3,雨追加後,2,4,0.19513699,162,17
固定射影,3,雨追加後,2,5,0.24101107,162,17
固定射影,3,雨追加後,2,6,0.27041411,162,17
固定射影,3,雨追加後,2,7,0.24778829,162,17
固定射影,3,雨追加後,2,8,0.29373226,162,17
固定射影,3,曖昧追加後,3,2,0.26641061,167,11
固定射影,3,曖昧追加後,3,3,0.26428845,167,11
固定射影,3,曖昧追加後,3,4,0.27000563,167,11
固定射影,3,曖昧追加後,3,5,0.23375306,167,11
固定射影,3,曖昧追加後,3,6,0.25578782,167,11
固定射影,3,曖昧追加後,3,7,0.27193821,167,11
固定射影,3,曖昧追加後,3,8,0.26290081,167,11
固定射影,4,初期,0,2,0.35201342,140,140
固定射影,4,初期,0,3,0.20824775,140,140
固定射影,4,初期,0,4,0.2129073,140,140
固定射影,4,初期,0,5,0.26629184,140,140
固定射影,4,初期,0,6,0.29424357,140,140
固定射影,4,初期,0,7,0.33583762,140,140
固定射影,4,初期,0,8,0.37687898,140,140
固定射影,4,晴れ学習後,1,2,0.31939903,151,23
固定射影,4,晴れ学習後,1,3,0.30639505,151,23
固定射影,4,晴れ学習後,1,4,0.2128421,151,23
固定射影,4,晴れ学習後,1,5,0.21910076,151,23
固定射影,4,晴れ学習後,1,6,0.25947564,151,23
固定射影,4,晴れ学習後,1,7,0.29548353,151,23
固定射影,4,晴れ学習後,1,8,0.3063161,151,23
固定射影,4,雨追加後,2,2,0.27465789,162,17
固定射影,4,雨追加後,2,3,0.28050644,162,17
固定射影,4,雨追加後,2,4,0.19513699,162,17
固定射影,4,雨追加後,2,5,0.24101107,162,17
固定射影,4,雨追加後,2,6,0.27041411,162,17
固定射影,4,雨追加後,2,7,0.24778829,162,17
固定射影,4,雨追加後,2,8,0.29373226,162,17
固定射影,4,曖昧追加後,3,2,0.26641061,167,11
固定射影,4,曖昧追加後,3,3,0.26428845,167,11
固定射影,4,曖昧追加後,3,4,0.27000563,167,11
固定射影,4,曖昧追加後,3,5,0.23375306,167,11
固定射影,4,曖昧追加後,3,6,0.25578782,167,11
固定射影,4,曖昧追加後,3,7,0.27193821,167,11
固定射影,4,曖昧追加後,3,8,0.26290081,167,11
異なる射影,1,初期,0,2,0.23515054,146,146
異なる射影,1,初期,0,3,0.23014066,146,146
異なる射影,1,初期,0,4,0.19005015,146,146
異なる射影,1,初期,0,5,0.22690695,146,146
異なる射影,1,初期,0,6,0.26670146,146,146
異なる射影,1,初期,0,7,0.32712376,146,146
異なる射影,1,初期,0,8,0.35231382,146,146
異なる射影,1,晴れ学習後,1,2,0.28215379,154,21
異なる射影,1,晴れ学習後,1,3,0.15973644,154,21
異なる射影,1,晴れ学習後,1,4,0.18311403,154,21
異なる射影,1,晴れ学習後,1,5,0.20538026,154,21
異なる射影,1,晴れ学習後,1,6,0.20924525,154,21
異なる射影,1,晴れ学習後,1,7,0.23287169,154,21
異なる射影,1,晴れ学習後,1,8,0.28249241,154,21
