group,trial,transition,k,partition_retention
固定射影,1,初期→晴れ学習後,2,0.95386319
固定射影,1,初期→晴れ学習後,3,0.7054626
固定射影,1,初期→晴れ学習後,4,0.61035925
固定射影,1,初期→晴れ学習後,5,0.5581939
固定射影,1,初期→晴れ学習後,6,0.71456693
固定射影,1,初期→晴れ学習後,7,0.78949311
固定射影,1,初期→晴れ学習後,8,0.70730807
固定射影,1,晴れ学習後→雨追加後,2,0.6862069
固定射影,1,晴れ学習後→雨追加後,3,0.85296935
固定射影,1,晴れ学習後→雨追加後,4,0.71484674
固定射影,1,晴れ学習後→雨追加後,5,0.71599617
固定射影,1,晴れ学習後→雨追加後,6,0.76609195
固定射影,1,晴れ学習後→雨追加後,7,0.79693487
固定射影,1,晴れ学習後→雨追加後,8,0.73735632
固定射影,1,雨追加後→曖昧追加後,2,0.91373036
固定射影,1,雨追加後→曖昧追加後,3,0.83688999
固定射影,1,雨追加後→曖昧追加後,4,0.74367246
固定射影,1,雨追加後→曖昧追加後,5,0.69966915
固定射影,1,雨追加後→曖昧追加後,6,0.76286187
固定射影,1,雨追加後→曖昧追加後,7,0.73895782
固定射影,1,雨追加後→曖昧追加後,8,0.73722084
固定射影,2,初期→晴れ学習後,2,0.95386319
固定射影,2,初期→晴れ学習後,3,0.7054626
固定射影,2,初期→晴れ学習後,4,0.61035925
固定射影,2,初期→晴れ学習後,5,0.5581939
固定射影,2,初期→晴れ学習後,6,0.71456693
固定射影,2,初期→晴れ学習後,7,0.78949311
固定射影,2,初期→晴れ学習後,8,0.70730807
固定射影,2,晴れ学習後→雨追加後,2,0.6862069
固定射影,2,晴れ学習後→雨追加後,3,0.85296935
固定射影,2,晴れ学習後→雨追加後,4,0.71484674
固定射影,2,晴れ学習後→雨追加後,5,0.71599617
固定射影,2,晴れ学習後→雨追加後,6,0.76609195
固定射影,2,晴れ学習後→雨追加後,7,0.79693487
固定射影,2,晴れ学習後→雨追加後,8,0.73735632
固定射影,2,雨追加後→曖昧追加後,2,0.91373036
固定射影,2,雨追加後→曖昧追加後,3,0.83688999
固定射影,2,雨追加後→曖昧追加後,4,0.74367246
固定射影,2,雨追加後→曖昧追加後,5,0.69966915
固定射影,2,雨追加後→曖昧追加後,6,0.76286187
固定射影,2,雨追加後→曖昧追加後,7,0.73895782
固定射影,2,雨追加後→曖昧追加後,8,0.73722084
固定射影,3,初期→晴れ学習後,2,0.95386319
固定射影,3,初期→晴れ学習後,3,0.7054626
固定射影,3,初期→晴れ学習後,4,0.61035925
固定射影,3,初期→晴れ学習後,5,0.5581939
固定射影,3,初期→晴れ学習後,6,0.71456693
固定射影,3,初期→晴れ学習後,7,0.78949311
固定射影,3,初期→晴れ学習後,8,0.70730807
固定射影,3,晴れ学習後→雨追加後,2,0.6862069
固定射影,3,晴れ学習後→雨追加後,3,0.85296935
固定射影,3,晴れ学習後→雨追加後,4,0.71484674
固定射影,3,晴れ学習後→雨追加後,5,0.71599617
固定射影,3,晴れ学習後→雨追加後,6,0.76609195
固定射影,3,晴れ学習後→雨追加後,7,0.79693487
固定射影,3,晴れ学習後→雨追加後,8,0.73735632
固定射影,3,雨追加後→曖昧追加後,2,0.91373036
固定射影,3,雨追加後→曖昧追加後,3,0.83688999
固定射影,3,雨追加後→曖昧追加後,4,0.74367246
固定射影,3,雨追加後→曖昧追加後,5,0.69966915
固定射影,3,雨追加後→曖昧追加後,6,0.76286187
固定射影,3,雨追加後→曖昧追加後,7,0.73895782
固定射影,3,雨追加後→曖昧追加後,8,0.73722084
固定射影,4,初期→晴れ学習後,2,0.95386319
固定射影,4,初期→晴れ学習後,3,0.7054626
固定射影,4,初期→晴れ学習後,4,0.61035925
固定射影,4,初期→晴れ学習後,5,0.5581939
固定射影,4,初期→晴れ学習後,6,0.71456693
固定射影,4,初期→晴れ学習後,7,0.78949311
固定射影,4,初期→晴れ学習後,8,0.70730807
固定射影,4,晴れ学習後→雨追加後,2,0.6862069
固定射影,4,晴れ学習後→雨追加後,3,0.85296935
固定射影,4,晴れ学習後→雨追加後,4,0.71484674
固定射影,4,晴れ学習後→雨追加後,5,0.71599617
固定射影,4,晴れ学習後→雨追加後,6,0.76609195
固定射影,4,晴れ学習後→雨追加後,7,0.79693487
固定射影,4,晴れ学習後→雨追加後,8,0.73735632
固定射影,4,雨追加後→曖昧追加後,2,0.91373036
固定射影,4,雨追加後→曖昧追加後,3,0.83688999
固定射影,4,雨追加後→曖昧追加後,4,0.74367246
固定射影,4,雨追加後→曖昧追加後,5,0.69966915
固定射影,4,雨追加後→曖昧追加後,6,0.76286187
固定射影,4,雨追加後→曖昧追加後,7,0.73895782
固定射影,4,雨追加後→曖昧追加後,8,0.73722084
異なる射影,1,初期→晴れ学習後,2,0.78673958
異なる射影,1,初期→晴れ学習後,3,0.58145363
異なる射影,1,初期→晴れ学習後,4,0.63773069
異なる射影,1,初期→晴れ学習後,5,0.66814764
異なる射影,1,初期→晴れ学習後,6,0.73741171
異なる射影,1,初期→晴れ学習後,7,0.76691729
異なる射影,1,初期→晴れ学習後,8,0.84142174
異なる射影,1,晴れ学習後→雨追加後,2,0.77468285
異なる射影,1,晴れ学習後→雨追加後,3,0.66280566
異なる射影,1,晴れ学習後→雨追加後,4,0.61040632
異なる射影,1,晴れ学習後→雨追加後,5,0.70490899
異なる射影,1,晴れ学習後→雨追加後,6,0.76337562
異なる射影,1,晴れ学習後→雨追加後,7,0.78856407
異なる射影,1,晴れ学習後→雨追加後,8,0.84657106
異なる射影,1,雨追加後→曖昧追加後,2,0.83651805
異なる射影,1,雨追加後→曖昧追加後,3,0.78376613
異なる射影,1,雨追加後→曖昧追加後,4,0.74342642
異なる射影,1,雨追加後→曖昧追加後,5,0.7085579
異なる射影,1,雨追加後→曖昧追加後,6,0.77690675
異なる射影,1,雨追加後→曖昧追加後,7,0.79585171
