checkpoint,train_text,probe_text,embedding_similarity,core_overlap,node_overlap,edge_overlap,reference_nodes,reference_edges,probe_nodes,probe_edges
0,今日は晴れて気持ちいい,今日の天気は最高だ,0.58683101,0.26663443,0.25531915,0.27272727,28,19,31,23
0,今日は晴れて気持ちいい,犬は公園を走っている,0.21107973,0.0704067,0.05454545,0.07894737,28,19,30,22
1,今日は晴れて気持ちいい,今日の天気は最高だ,0.58683101,0.36827957,0.33333333,0.38709677,30,21,30,22
1,今日は晴れて気持ちいい,犬は公園を走っている,0.21107973,0.06717105,0.05263158,0.075,30,21,30,22
5,今日は晴れて気持ちいい,今日の天気は最高だ,0.58683101,0.32166667,0.3,0.33333333,32,23,33,25
5,今日は晴れて気持ちいい,犬は公園を走っている,0.21107973,0.06422518,0.05084746,0.07142857,32,23,30,22
10,今日は晴れて気持ちいい,今日の天気は最高だ,0.58683101,0.3062247,0.28846154,0.31578947,34,25,33,25
10,今日は晴れて気持ちいい,犬は公園を走っている,0.21107973,0.0615313,0.04918033,0.06818182,34,25,30,22
20,今日は晴れて気持ちいい,今日の天気は最高だ,0.58683101,0.37394338,0.35087719,0.38636364,41,32,36,29
20,今日は晴れて気持ちいい,犬は公園を走っている,0.21107973,0.05367647,0.04411765,0.05882353,41,32,30,22
50,今日は晴れて気持ちいい,今日の天気は最高だ,0.58683101,0.32435897,0.30769231,0.33333333,45,36,40,32
50,今日は晴れて気持ちいい,犬は公園を走っている,0.21107973,0.05158119,0.04225352,0.05660377,45,36,29,20
